Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms) 105°C@100kHz,Impedance (Ω) 100kHz,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽H,Part No.,Straight leads,Taping
25.0,1800,16.0,20.0,3300,0.017,5000,0.8,7.5,7.5,—,EEUFM1E182S( ),100,250
25.0,2200,12.5,35.0,3750,0.012,7000,0.8,5.0,—,—,EEUFM1E222L,100,—
25.0,2700,16.0,25.0,3820,0.014,7000,0.8,7.5,7.5,—,EEUFM1E272( ),100,250
35.0,33,5.0,11.0,280,0.3,2000,0.5,2.0,5.0,2.5,EEUFM1V330( ),200,2000
35.0,68,6.3,11.2,455,0.13,2000,0.5,2.5,5.0,2.5,EEUFM1V680( ),200,2000
35.0,150,8.0,11.5,950,0.056,3000,0.6,3.5,5.0,—,EEUFM1V151( ),200,1000
35.0,220,8.0,15.0,1240,0.041,3000,0.6,3.5,5.0,—,EEUFM1V221L( ),200,1000
35.0,220,10.0,12.5,1290,0.038,4000,0.6,5.0,5.0,—,EEUFM1V221( ),200,500
35.0,330,8.0,20.0,1560,0.03,4000,0.6,3.5,5.0,—,EEUFM1V331L( ),200,1000
35.0,330,10.0,16.0,1790,0.026,4000,0.6,5.0,5.0,—,EEUFM1V331( ),200,500
35.0,470,10.0,20.0,2180,0.019,5000,0.6,5.0,5.0,—,EEUFM1V471( ),200,500
35.0,560,10.0,25.0,2470,0.018,5000,0.6,5.0,5.0,—,EEUFM1V561L( ),200,500
35.0,680,12.5,20.0,2600,0.018,5000,0.6,5.0,5.0,—,EEUFM1V681( ),200,500
35.0,1000,12.5,25.0,3190,0.015,7000,0.6,5.0,5.0,—,EEUFM1V102( ),200,500
35.0,1200,12.5,30.0,3630,0.013,7000,0.8,5.0,—,—,EEUFM1V122L,100,—
35.0,1200,16.0,20.0,3300,0.017,5000,0.8,7.5,7.5,—,EEUFM1V122S( ),100,250
35.0,1500,12.5,35.0,3750,0.012,7000,0.8,5.0,—,—,EEUFM1V152L,100,—
35.0,1800,16.0,25.0,3820,0.014,7000,0.8,7.5,7.5,—,EEUFM1V182( ),100,250
50.0,22,5.0,11.0,250,0.34,2000,0.5,2.0,5.0,2.5,EEUFM1H220( ),200,2000
50.0,56,6.3,11.2,405,0.14,2000,0.5,2.5,5.0,2.5,EEUFM1H560( ),200,2000
50.0,100,8.0,11.5,870,0.061,3000,0.6,3.5,5.0,—,EEUFM1H101( ),200,1000
50.0,120,8.0,15.0,1140,0.045,3000,0.6,3.5,5.0,—,EEUFM1H121L( ),200,1000
50.0,150,10.0,12.5,1170,0.042,4000,0.6,5.0,5.0,—,EEUFM1H151( ),200,500
50.0,180,8.0,20.0,1430,0.033,4000,0.6,3.5,5.0,—,EEUFM1H181L( ),200,1000
50.0,220,10.0,16.0,1650,0.03,4000,0.6,5.0,5.0,—,EEUFM1H221( ),200,500
50.0,270,10.0,20.0,1890,0.023,5000,0.6,5.0,5.0,—,EEUFM1H271( ),200,500
50.0,330,10.0,25.0,2150,0.022,5000,0.6,5.0,5.0,—,EEUFM1H331L( ),200,500
50.0,470,12.5,20.0,2260,0.022,5000,0.6,5.0,5.0,—,EEUFM1H471( ),200,500
50.0,560,12.5,25.0,2660,0.018,7000,0.6,5.0,5.0,—,EEUFM1H561( ),200,500
50.0,680,12.5,30.0,3160,0.016,7000,0.8,5.0,—,—,EEUFM1H681L,100,—
50.0,820,12.5,35.0,3270,0.014,7000,0.8,5.0,—,—,EEUFM1H821L,100,—
50.0,820,16.0,20.0,2870,0.019,5000,0.8,7.5,7.5,—,EEUFM1H821S( ),100,250
50.0,1000,16.0,25.0,3320,0.016,7000,0.8,7.5,7.5,—,EEUFM1H102( ),100,250
