Cap. (μF),60 Hz,120 Hz,1 kHz,10 kHz,100 kHz
2.2 to 330,0.55,0.65,0.85,0.9,1.0
390 to 1000,0.7,0.75,0.9,0.95,1.0
1200 to 2200,0.75,0.8,0.9,0.95,1.0
2700 to 15000,0.8,0.85,0.95,1.0,1.0
2.2 to 330,0.55,0.65,0.85,0.9,1.0
390 to 1000,0.7,0.75,0.9,0.95,1.0
1200 to 2200,0.75,0.8,0.9,0.95,1.0
2700 to 15000,0.8,0.85,0.95,1.0,1.0
