Rated voltage (V),Capacitance (±20%) (μF),Case size øD,Case size L,Ripple current (mA rms) 105°C@100kHz,Impedance (Ω)  20°C@100kHz,Endurance (h),Lead dia (ød),Lead space Straight,Lead space Taping ✽B,Part No.,Min Packaging Q'ty Straight leads,Min Packaging Q'ty Taping
6.3,680,8.0,11.5,630,0.09,3000,0.6,3.5,5.0,EEUFK0J681(),200,1000
6.3,1000,8.0,15.0,860,0.062,3000,0.6,3.5,5.0,EEUFK0J102L(),200,1000
6.3,1000,10.0,12.5,900,0.063,4000,0.6,5.0,5.0,EEUFK0J102(),200,500
6.3,1500,8.0,20.0,1220,0.044,3000,0.6,3.5,5.0,EEUFK0J152L(),200,1000
6.3,1800,10.0,16.0,1240,0.049,4000,0.6,5.0,5.0,EEUFK0J182(),200,500
6.3,2200,10.0,20.0,1490,0.035,4000,0.6,5.0,5.0,EEUFK0J222(),200,500
6.3,2200,12.5,15.0,1400,0.048,5000,0.6,5.0,5.0,EEUFK0J222S(),200,500
6.3,3300,10.0,25.0,1680,0.033,4000,0.6,5.0,5.0,EEUFK0J332(),200,500
6.3,3300,10.0,30.0,2140,0.025,4000,0.6,5.0,-,EEUFK0J332L,100,-
6.3,4700,12.5,20.0,1890,0.029,5000,0.6,5.0,5.0,EEUFK0J472(),200,500
6.3,4700,16.0,15.0,1800,0.038,5000,0.8,7.5,7.5,EEUFK0J472S(),100,250
6.3,5600,12.5,25.0,2280,0.022,5000,0.6,5.0,5.0,EEUFK0J562(),200,500
6.3,5600,18.0,15.0,2060,0.036,5000,0.8,7.5,7.5,EEUFK0J562S(),100,250
6.3,6800,12.5,30.0,2720,0.018,5000,0.8,5.0,-,EEUFK0J682L,100,-
6.3,6800,12.5,35.0,2940,0.016,5000,0.8,5.0,-,EEUFK0J682L,100,-
6.3,8200,16.0,20.0,2330,0.026,5000,0.8,7.5,7.5,EEUFK0J822(),100,250
6.3,8200,12.5,40.0,3010,0.014,5000,0.8,5.0,-,EEUFK0J822L,100,-
6.3,8200,18.0,20.0,2640,0.025,5000,0.8,7.5,7.5,EEUFK0J822(),100,250
6.3,12000,18.0,25.0,2850,0.018,5000,0.8,7.5,7.5,EEUFK0J123S(),100,250
10.0,560,8.0,11.5,630,0.09,3000,0.6,3.5,5.0,EEUFK1A561(),200,1000
10.0,820,8.0,15.0,860,0.062,3000,0.6,3.5,5.0,EEUFK1A821L(),200,1000
10.0,820,10.0,12.5,900,0.063,4000,0.6,5.0,5.0,EEUFK1A821(),200,500
10.0,1000,8.0,20.0,1220,0.044,3000,0.6,3.5,5.0,EEUFK1A102L(),200,1000
10.0,1200,10.0,16.0,1240,0.049,4000,0.6,5.0,5.0,EEUFK1A122(),200,500
10.0,1200,10.0,20.0,1490,0.035,4000,0.6,5.0,5.0,EEUFK1A122(),200,500
10.0,1500,12.5,15.0,1400,0.048,5000,0.6,5.0,5.0,EEUFK1A152S(),200,500
10.0,1800,10.0,25.0,1680,0.033,4000,0.6,5.0,5.0,EEUFK1A182L(),200,500
