Rated voltage (V),Capacitance (±20 %) (μF),Case size (mm) øD,Case size (mm) L,Ripple current (mA rms) 85°C@120Hz,tan δ 120Hz,Lead dia. (ød),Lead space Straight,Lead space Taping ✽B,Lead space Taping ✽i,Part No.,Min. Packaging Q'ty (PCS) Straight leads,Min. Packaging Q'ty (PCS) Taping
6.3,22.0,5.0,5.0,29,0.24,0.45,2.0,5.0,2.5,ECEA0JSN220( ),200,2000
6.3,33.0,6.3,5.0,38,0.24,0.45,2.5,5.0,2.5,ECEA0JSN330( ),200,2000
6.3,47.0,6.3,5.0,46,0.24,0.45,2.5,5.0,2.5,ECEA0JSN470( ),200,2000
10.0,10.0,4.0,5.0,25,0.2,0.45,1.5,5.0,2.5,ECEA1ASN100( ),200,2000
10.0,22.0,6.3,5.0,35,0.2,0.45,2.5,5.0,2.5,ECEA1ASN220( ),200,2000
10.0,33.0,6.3,5.0,43,0.2,0.45,2.5,5.0,2.5,ECEA1ASN330( ),200,2000
16.0,4.7,4.0,5.0,20,0.2,0.45,1.5,5.0,2.5,ECEA1CSN4R7( ),200,2000
16.0,10.0,5.0,5.0,25,0.2,0.45,2.0,5.0,2.5,ECEA1CSN100( ),200,2000
16.0,22.0,6.3,5.0,39,0.2,0.45,2.5,5.0,2.5,ECEA1CSN220( ),200,2000
25.0,3.3,5.0,5.0,18,0.2,0.45,2.0,5.0,2.5,ECEA1ESN3R3( ),200,2000
25.0,4.7,5.0,5.0,21,0.2,0.45,2.0,5.0,2.5,ECEA1ESN4R7( ),200,2000
25.0,10.0,6.3,5.0,28,0.2,0.45,2.5,5.0,2.5,ECEA1ESN100( ),200,2000
35.0,2.2,4.0,5.0,12,0.2,0.45,1.5,5.0,2.5,ECEA1VSN2R2( ),200,2000
50.0,2.2,5.0,5.0,16,0.2,0.45,2.0,5.0,2.5,ECEA1HSN2R2( ),200,2000
