Rated voltage (V),Capacitance (μF),øD,L,Ripple current (mA rms),Impedance (Ω),Lead dia (ød),Straight,Taping ✽B,Part No.,Straight leads,Taping
10,330,8.0,11.5,500,0.13,0.6,3.5,5.0,EEUTA1A331( ),200,1000
10,470,10.0,12.5,680,0.1,0.6,5.0,5.0,EEUTA1A471( ),200,500
10,1000,10.0,20.0,1100,0.057,0.6,5.0,5.0,EEUTA1A102( ),200,500
10,1000,12.5,15.0,1085,0.07,0.6,5.0,5.0,EEUTA1A102S( ),200,500
10,1000,12.5,25.0,1750,0.033,0.6,5.0,5.0,EEUTA1A222L( ),200,500
10,2200,16.0,20.0,1985,0.032,0.8,7.5,7.5,EEUTA1A222( ),100,250
10,2200,18.0,15.0,1800,0.042,0.8,7.5,7.5,EEUTA1A222S( ),100,250
10,3300,16.0,25.0,2300,0.024,0.8,7.5,7.5,EEUTA1A332( ),100,250
10,3300,18.0,20.0,2250,0.031,0.8,7.5,7.5,EEUTA1A332S( ),100,250
10,4700,16.0,31.5,2710,0.02,0.8,7.5,—,EEUTA1A472,100,—
10,4700,18.0,25.0,2470,0.022,0.8,7.5,7.5,EEUTA1A472S( ),100,250
16,220,8.0,11.5,500,0.13,0.6,3.5,5.0,EEUTA1C221( ),200,1000
16,330,10.0,12.5,680,0.1,0.6,5.0,5.0,EEUTA1C331( ),200,500
16,470,10.0,16.0,945,0.075,0.6,5.0,5.0,EEUTA1C471( ),200,500
16,1000,12.5,20.0,1490,0.042,0.6,5.0,5.0,EEUTA1C102( ),200,500
16,1000,16.0,15.0,1520,0.047,0.8,7.5,7.5,EEUTA1C102S( ),100,250
16,2200,16.0,25.0,2300,0.024,0.8,7.5,7.5,EEUTA1C222( ),100,250
16,2200,18.0,20.0,2250,0.031,0.8,7.5,7.5,EEUTA1C222S( ),100,250
16,3300,16.0,31.5,2710,0.02,0.8,7.5,—,EEUTA1C332,100,—
16,3300,18.0,25.0,2470,0.022,0.8,7.5,7.5,EEUTA1C332S( ),100,250
16,4700,18.0,31.5,3270,0.018,0.8,7.5,—,EEUTA1C472,50,—
25,100,8.0,11.5,500,0.13,0.6,3.5,5.0,EEUTA1E101( ),200,1000
25,220,10.0,12.5,680,0.1,0.6,5.0,5.0,EEUTA1E221( ),200,500
