Rated voltage (V),Rated capacitance (µF),Case φD×L (mm),Size code,Rated ripple current (mArms)
10,1000,10×22,F22,820
10,2200,12.5×26,G26,1000
10,3300,16×26.5,J26,1200
10,4700,16×33,J33,1370
16,470,10×18,F18,510
16,1000,10×22,F22,820
16,2200,12.5×26,G26,1000
16,3300,16×33,J33,1370
16,4700,16×37,J37,1720
25,220,10×14.5,F14,300
25,330,10×18,F18,510
25,470,10×22,F22,820
25,1000,12.5×26,G26,1000
25,2200,16×26.5,J26,1200
25,3300,16×37,J37,1720
25,4700,18×38,K38,1790
35,220,10×14.5,F14,300
35,330,10×18,F18,510
35,470,10×22,F22,820
35,1000,12.5×26,G26,1000
35,2200,16×33,J33,1370
35,3300,18×34,K34,1670
35,4700,18×42.5,K42,1870
