Rated voltage (V),Rated capacitance (µF),Case φD × L (mm),Size code,"ESR (Ω max.) 20℃, 100kHz","Rated ripple current (mArms) 135℃, 100kHz"
10,220,-,-,-,-
10,330,10×12.5,F12,0.098,725
10,470,10×12.5,F12,0.098,725
10,1000,10×20,F20,0.057,1130
10,1000,12.5×15,G15,0.059,1130
10,2200,12.5×25,G25,0.032,1880
10,2200,16×20,J20,0.032,2020
10,3300,16×25,J25,0.024,2550
10,3300,18×20,K20,0.029,2320
10,4700,16×31.5,J31,0.020,3040
10,4700,18×25,K25,0.022,2880
16,220,10×12.5,F12,0.098,725
16,330,10×12.5,F12,0.098,725
16,470,10×16,F16,0.075,951
16,1000,10×20,F20,0.057,1130
16,1000,12.5×20,G20,0.040,1550
16,2200,12.5×25,G25,0.032,1880
16,2200,16×25,J25,0.024,2550
16,3300,16×31.5,J31,0.020,3040
16,3300,18×25,K25,0.022,2880
16,4700,16×35.5,J35,0.019,3280
16,4700,18×31.5,K31,0.018,3410
25,220,10×12.5,F12,0.098,725
25,330,10×12.5,F12,0.098,725
25,330,10×16,F16,0.075,951
25,470,10×16,F16,0.075,951
25,470,10×20,F20,0.057,1130
25,1000,12.5×20,G20,0.040,1550
25,1000,12.5×25,G25,0.032,1880
25,1200,12.5×20,G20,0.040,1550
25,1800,12.5×25,G25,0.032,1880
25,1800,16×20,J20,0.032,2020
25,2200,12.5×30,G30,0.029,2160
25,2200,16×25,J25,0.024,2550
25,2700,12.5×35,G35,0.023,2580
25,2700,16×25,J25,0.024,2550
25,3300,12.5×40,G40,0.020,2920
25,3300,16×31.5,J31,0.020,3040
25,4700,16×35.5,J35,0.019,3280
25,4700,18×31.5,K31,0.018,3410
25,5600,16×40,J40,0.017,3630
25,6800,18×40,K40,0.016,4000
35,220,10×12.5,F12,0.098,725
35,220,10×16,F16,0.075,951
35,330,10×16,F16,0.075,951
35,330,10×20,F20,0.057,1130
35,470,10×20,F20,0.057,1130
35,470,12.5×20,G20,0.040,1550
35,1000,12.5×25,G25,0.032,1880
35,1200,12.5×30,G30,0.029,2160
35,1200,16×20,J20,0.032,2020
35,1500,12.5×35,G35,0.023,2580
35,1500,16×31.5,J31,0.020,3040
35,1800,12.5×40,G40,0.020,2920
35,1800,16×25,J25,0.024,2550
35,2200,16×31.5,J31,0.020,3040
35,2200,16×35.5,J35,0.019,3280
35,2700,16×35.5,J35,0.019,3280
35,2700,18×31.5,K31,0.018,3410
35,3300,16×40,J40,0.017,3630
35,3300,18×35.5,K35,0.017,3710
35,4700,18×40,K40,0.016,4000
50,220,10×20,F20,0.081,930
50,470,12.5×20,G20,0.057,1170
50,820,12.5×30,G30,0.038,1680
50,1000,16×25,J25,0.031,1710
50,1800,18×35.5,K31,0.025,2670
50,2200,18×35.5,K35,0.022,2900
63,470,16×20,J20,0.19,1100
63,820,16×31.5,J31,0.080,1790
63,1000,16×35.5,J35,0.066,2010
63,1800,18×40,K40,0.051,2350
80,330,16×20,J20,0.19,1100
80,470,16×25,J25,0.11,1370
80,560,18×25,K25,0.094,1450
80,820,18×35.5,K35,0.062,2100
80,1000,18×40,K40,0.051,2350
