Rated capacitance (µF),120Hz,1kHz,10kHz,100kHz
5.6 to 180,0.4,0.75,0.9,1
220 to 390,0.5,0.85,0.94,1
470 to 1800,0.6,0.87,0.95,1
2200 to 3900,0.75,0.9,0.95,1
4700 to 6800,0.85,0.95,0.98,1
