Rated Capacitance (µF),50Hz to 60Hz,120Hz,1kHz,10kHz,100kHz
100 to 220,0.8,1,1.2,1.3,1.4
330 to 1000,0.8,1,1.2,1.2,1.3
2200 to 15000,0.8,1,1.1,1.1,1.1
