ELNA PART NO.,WV (V),CAP. (µF),SIZE (φ x L) (mm),tan δ,Ripple Current (mArms) (120 Hz at 85°C)
RE3-6V330MA,6.3,33.0,5 x 11,0.22,60
RE3-6V470MA,6.3,47.0,5 x 11,0.22,70
RE3-6V101MA,6.3,100.0,5 x 11,0.22,100
RE2-6V221MMA,6.3,220.0,6.3 x 11,0.22,170
RE2-6V331MMA,6.3,330.0,6.3 x 11,0.22,210
RE2-6V471MMA,6.3,470.0,8 x 11.5,0.22,300
RE2-6V102MMA,6.3,1000.0,10 x 12.5,0.22,530
RE2-6V222MMA,6.3,2200.0,12.5 x 20,0.24,990
RE2-6V332MMA,6.3,3300.0,12.5 x 20,0.26,1150
RE2-6V472MMA,6.3,4700.0,16 x 25,0.28,1700
RE2-6V682MMA,6.3,6800.0,16 x 25,0.32,1900
RE2-6V103MMA,6.3,10000.0,16 x 31.5,0.38,2250
RE2-6V153MMA,6.3,15000.0,18 x 35.5,0.48,2900
RE3-10V220MA,10.0,22.0,5 x 11,0.19,50
RE3-10V330MA,10.0,33.0,5 x 11,0.19,65
RE3-10V470MA,10.0,47.0,5 x 11,0.19,75
RE3-10V101MA,10.0,100.0,5 x 11,0.19,110
RE2-10V221MMA,10.0,220.0,6.3 x 11,0.19,190
RE2-10V331MMA,10.0,330.0,8 x 11.5,0.19,270
RE2-10V471MMA,10.0,470.0,8 x 11.5,0.19,330
RE2-10V102MMA,10.0,1000.0,10 x 16,0.19,620
RE2-10V222MMA,10.0,2200.0,12.5 x 20,0.21,1050
RE2-10V332MMA,10.0,3300.0,12.5 x 25,0.23,1350
RE2-10V472MMA,10.0,4700.0,16 x 25,0.25,1800
RE2-10V682MMA,10.0,6800.0,16 x 31.5,0.29,2200
RE2-10V103MMA,10.0,10000.0,18 x 35.5,0.35,2750
RE3-16V100MA,16.0,10.0,5 x 11,0.16,40
RE3-16V220MA,16.0,22.0,5 x 11,0.16,55
RE3-16V330MA,16.0,33.0,5 x 11,0.16,70
RE3-16V470MA,16.0,47.0,5 x 11,0.16,80
RE2-16V101MMA,16.0,100.0,6.3 x 11,0.16,140
RE2-16V221MMA,16.0,220.0,8 x 11.5,0.16,240
RE2-16V331MMA,16.0,330.0,8 x 11.5,0.16,300
RE2-16V471MMA,16.0,470.0,10 x 12.5,0.16,420
RE2-16V102MMA,16.0,1000.0,10 x 20,0.16,740
RE2-16V222MMA,16.0,2200.0,12.5 x 25,0.18,1200
RE2-16V332MMA,16.0,3300.0,16 x 25,0.2,1650
RE2-16V472MMA,16.0,4700.0,16 x 31.5,0.22,2100
RE2-16V682MMA,16.0,6800.0,18 x 35.5,0.26,2600
RE3-25V4R7MA,25.0,4.7,5 x 11,0.14,25
RE3-25V100MA,25.0,10.0,5 x 11,0.14,40
RE3-25V220MA,25.0,22.0,5 x 11,0.14,60
RE3-25V330MA,25.0,33.0,5 x 11,0.14,70
RE3-25V470MA,25.0,47.0,5 x 11,0.14,90
RE2-25V101MMA,25.0,100.0,6.3 x 11,0.14,150
RE2-25V221MMA,25.0,220.0,8 x 11.5,0.14,260
RE2-25V331MMA,25.0,330.0,10 x 12.5,0.14,380
RE2-25V471MMA,25.0,470.0,10 x 16,0.14,500
RE2-25V102MMA,25.0,1000.0,12.5 x 20,0.14,1000
RE2-25V222MMA,25.0,2200.0,16 x 25,0.16,1500
RE2-25V332MMA,25.0,3300.0,16 x 31.5,0.18,1900
RE2-25V472MMA,25.0,4700.0,18 x 35.5,0.2,2450
RE3-35V4R7MA,35.0,4.7,5 x 11,0.12,30
RE3-35V100MA,35.0,10.0,5 x 11,0.12,45
RE3-35V220MA,35.0,22.0,5 x 11,0.12,60
RE3-35V330MA,35.0,33.0,5 x 11,0.12,80
RE2-35V470MMA,35.0,47.0,6.3 x 11,0.12,110
RE2-35V101MMA,35.0,100.0,8 x 11.5,0.12,190
RE2-35V221MMA,35.0,220.0,10 x 12.5,0.12,330
RE2-35V331MMA,35.0,330.0,10 x 16,0.12,450
RE2-35V471MMA,35.0,470.0,10 x 20,0.12,590
RE2-35V102MMA,35.0,1000.0,12.5 x 25,0.12,1050
RE2-35V222MMA,35.0,2200.0,16 x 31.5,0.14,1750
RE2-35V332MMA,35.0,3300.0,18 x 35.5,0.16,2250
RE3-50VR10MA,50.0,0.1,5 x 11,0.1,5
RE3-50VR22MA,50.0,0.22,5 x 11,0.1,7
RE3-50VR33MA,50.0,0.33,5 x 11,0.1,9
RE3-50VR47MA,50.0,0.47,5 x 11,0.1,10
RE3-50V010MA,50.0,1.0,5 x 11,0.1,15
RE3-50V2R2MA,50.0,2.2,5 x 11,0.1,20
RE3-50V3R3MA,50.0,3.3,5 x 11,0.1,25
RE3-50V4R7MA,50.0,4.7,5 x 11,0.1,30
RE3-50V100MA,50.0,10.0,5 x 11,0.1,45
RE3-50V220MA,50.0,22.0,5 x 11,0.1,70
RE2-50V330MMA,50.0,33.0,6.3 x 11,0.1,100
RE2-50V470MMA,50.0,47.0,6.3 x 11,0.1,120
RE2-50V101MMA,50.0,100.0,8 x 11.5,0.1,210
RE2-50V221MMA,50.0,220.0,10 x 16,0.1,400
RE2-50V331MMA,50.0,330.0,10 x 20,0.1,540
RE2-50V471MMA,50.0,470.0,12.5 x 20,0.1,740
RE2-50V102MMA,50.0,1000.0,16 x 25,0.1,1350
RE2-50V222MMA,50.0,2200.0,18 x 35.5,0.12,2100
RE3-63V4R7MA,63.0,4.7,5 x 11,0.09,35
RE3-63V100MA,63.0,10.0,5 x 11,0.09,50
RE2-63V220MMA,63.0,22.0,6.3 x 11,0.09,85
RE2-63V330MMA,63.0,33.0,6.3 x 11,0.09,100
