Case φD×L (mm),Size code,Rated voltage (V),Rated capacitance (µF),"ESR (Ω) 20℃, 120Hz","Impedance (Ω max.) 20℃, 100kHz","Impedance (Ω max.) -10℃, 100kHz","Rated ripple current (mArms) 105℃, 100kHz"
5×11.5,C11,6.3,100.0,3.65,0.65,1.46,175
5×11.5,C11,10.0,82.0,3.84,0.65,1.46,175
5×11.5,C11,16.0,56.0,4.74,0.65,1.46,175
5×11.5,C11,25.0,39.0,5.96,0.65,1.46,175
5×11.5,C11,35.0,27.0,7.37,0.65,1.46,175
5×11.5,C11,50.0,18.0,9.22,0.95,1.9,120
5×11.5,C11,63.0,12.0,11.1,1.2,3.6,120
5×11.5,C11,100.0,5.6,20.7,1.9,7.6,57
5×11.5,C11,50.0,1.0,166.0,3.5,7.0,36
5×11.5,C11,50.0,2.2,75.4,3.0,6.0,54
5×11.5,C11,50.0,3.3,50.3,2.6,5.2,63
5×11.5,C11,50.0,4.7,35.3,2.2,4.4,75
5×11.5,C11,50.0,10.0,16.6,1.4,2.8,110
6.3×11.5,D11,6.3,220.0,1.66,0.31,0.7,290
6.3×11.5,D11,10.0,180.0,1.75,0.31,0.7,290
6.3×11.5,D11,16.0,120.0,2.21,0.31,0.7,290
6.3×11.5,D11,25.0,82.0,2.83,0.31,0.7,290
6.3×11.5,D11,35.0,56.0,3.56,0.31,0.7,290
6.3×11.5,D11,50.0,39.0,4.25,0.43,0.86,148
6.3×11.5,D11,63.0,27.0,4.92,0.55,1.7,148
6.3×11.5,D11,100.0,12.0,9.68,1.1,4.4,78
8×12,E12,6.3,470.0,0.777,0.17,0.38,488
8×12,E12,10.0,330.0,0.956,0.17,0.38,488
8×12,E12,16.0,270.0,0.983,0.17,0.38,488
8×12,E12,25.0,180.0,1.29,0.17,0.38,488
8×12,E12,35.0,120.0,1.66,0.17,0.38,488
8×12,E12,50.0,68.0,2.44,0.2,0.4,360
8×12,E12,63.0,47.0,2.82,0.32,0.96,360
8×12,E12,100.0,22.0,5.28,0.53,2.1,275
8×15,E15,6.3,680.0,0.537,0.13,0.29,617
8×15,E15,10.0,470.0,0.671,0.13,0.29,617
8×15,E15,16.0,330.0,0.805,0.13,0.29,617
8×15,E15,25.0,220.0,1.06,0.13,0.29,617
8×15,E15,35.0,180.0,1.11,0.13,0.29,617
8×15,E15,50.0,82.0,2.02,0.18,0.36,460
8×15,E15,63.0,68.0,1.95,0.24,0.72,469
8×15,E15,100.0,33.0,3.52,0.35,1.4,360
8×20,E20,6.3,1000.0,0.365,0.095,0.21,800
8×20,E20,10.0,680.0,0.464,0.095,0.21,800
8×20,E20,16.0,470.0,0.565,0.095,0.21,800
8×20,E20,25.0,330.0,0.704,0.095,0.21,800
8×20,E20,35.0,220.0,0.905,0.095,0.21,800
8×20,E20,50.0,120.0,1.38,0.13,0.26,670
8×20,E20,63.0,82.0,1.62,0.17,0.51,682
8×20,E20,100.0,39.0,2.98,0.27,1.1,490
10×12.5,F12,6.3,680.0,0.537,0.1,0.23,625
10×12.5,F12,10.0,470.0,0.671,0.1,0.23,625
10×12.5,F12,16.0,330.0,0.805,0.1,0.23,625
10×12.5,F12,25.0,220.0,1.06,0.1,0.23,625
10×12.5,F12,35.0,150.0,1.33,0.1,0.23,625
10×12.5,F12,50.0,82.0,2.02,0.18,0.36,443
10×12.5,F12,63.0,56.0,2.37,0.23,0.69,448
10×12.5,F12,100.0,27.0,4.3,0.47,1.9,319
10×16,F16,6.3,820.0,0.446,0.08,0.18,825
10×16,F16,10.0,560.0,0.563,0.08,0.18,825
10×16,F16,16.0,390.0,0.681,0.08,0.18,825
10×16,F16,25.0,270.0,0.861,0.08,0.18,825
10×16,F16,35.0,180.0,1.11,0.08,0.18,825
10×16,F16,50.0,100.0,1.66,0.15,0.3,553
10×16,F16,63.0,68.0,1.95,0.17,0.51,553
10×16,F16,100.0,33.0,3.52,0.32,1.3,424
10×20,F20,6.3,1200.0,0.305,0.062,0.14,1010
10×20,F20,10.0,1000.0,0.316,0.062,0.14,1010
10×20,F20,16.0,680.0,0.391,0.062,0.14,1010
10×20,F20,25.0,470.0,0.495,0.062,0.14,1010
10×20,F20,35.0,330.0,0.604,0.062,0.14,1010
10×20,F20,50.0,180.0,0.922,0.085,0.17,676
10×20,F20,63.0,120.0,1.11,0.12,0.36,676
10×20,F20,100.0,56.0,2.07,0.25,1.0,499
10×25,F25,6.3,1500.0,0.244,0.052,0.12,1190
10×25,F25,10.0,1200.0,0.263,0.052,0.12,1190
10×25,F25,16.0,820.0,0.324,0.052,0.12,1190
10×25,F25,25.0,560.0,0.415,0.052,0.12,1190
10×25,F25,35.0,390.0,0.511,0.052,0.12,1190
