PART NO.,WV (V),CAP. (µF),SIZE (φ x L) (mm),tan δ,Ripple Current (mArms) (120 Hz at 85°C)
RE3-6V221M,6.3,220.0,5 x 11,0.28,200.0
RE3-6V331M,6.3,330.0,6.3 x 11,0.28,270.0
RE3-6V471M,6.3,470.0,6.3 x 11,0.28,322.0
RE3-6V102M,6.3,1000.0,8 x 11.5,0.28,546.0
RE3-6V222M,6.3,2200.0,10 x 20,0.3,1010.0
RE3-6V332M,6.3,3300.0,10x 20,0.32,1230.0
RE3-6V472M,6.3,4700.0,12.5 x 20,0.34,1710.0
RE3-6V682M,6.3,6800.0,12.5 x 25,0.38,1930.0
RE3-6V103M,6.3,10000.0,16 x 25,0.44,2450.0
RE3-6V153M,6.3,15000.0,16 x 35.5,0.54,2860.0
RE3-6V223M,6.3,22000.0,18 x 40,0.68,3340.0
RE3-10V470M,10.0,47.0,5 x 11,0.24,99.0
RE3-10V101M,10.0,100.0,5 x 11,0.24,146.0
RE3-10V221M,10.0,220.0,6.3 x 11,0.24,240.0
RE3-10V331M,10.0,330.0,6.3 x 11,0.24,290.0
RE3-10V471M,10.0,470.0,8 x 11.5,0.24,417.0
RE3-10V102M,10.0,1000.0,10 x 12.5,0.24,650.0
RE3-10V222M,10.0,2200.0,10 x 20,0.26,1080.0
RE3-10V332M,10.0,3300.0,12.5 x 20,0.28,1430.0
RE3-10V472M,10.0,4700.0,12.5 x 25,0.3,1780.0
RE3-10V682M,10.0,6800.0,16 x 25,0.34,2220.0
RE3-10V103M,10.0,10000.0,16 x 35.5,0.4,2700.0
RE3-10V153M,10.0,15000.0,18 x 35.5,0.5,3100.0
RE3-16V100M,16.0,10.0,5 x 11,0.2,50.0
RE3-16V220M,16.0,22.0,5 x 11,0.2,75.0
RE3-16V330M,16.0,33.0,5 x 11,0.2,92.0
RE3-16V470M,16.0,47.0,5 x 11,0.2,110.0
RE3-16V101M,16.0,100.0,5 x 11,0.2,160.0
RE3-16V221M,16.0,220.0,6.3 x 11,0.2,264.0
RE3-16V331M,16.0,330.0,8 x 11.5,0.2,383.0
RE3-16V471M,16.0,470.0,8 x 11.5,0.2,457.0
RE3-16V102M,16.0,1000.0,10 x 16,0.2,791.0
RE3-16V222M,16.0,2200.0,12.5 x 20,0.22,1350.0
RE3-16V332M,16.0,3300.0,12.5 x 25,0.24,1690.0
RE3-16V472M,16.0,4700.0,16 x 25,0.26,2100.0
RE3-16V682M,16.0,6800.0,16 x 35.5,0.3,2580.0
RE3-16V103M,16.0,10000.0,18 x 35.5,0.36,3130.0
RE3-25V4R7M,25.0,4.7,5 x 11,0.16,38.0
