Rated capacitance (µF),120Hz,1kHz,10kHz,100kHz
3.3 to 180,0.4,0.75,0.9,1
220 to 390,0.5,0.85,0.95,1
470 to 1800,0.6,0.88,0.96,1
2200 to 3900,0.75,0.9,0.98,1
4700 to 10000,0.85,0.95,1.0,1
