Rated voltage (V),Rated capacitance (µF),Case φD×L (mm),Size code,Impedance (Ω max.) 20℃ 100kHz,Impedance (Ω max.) -10℃ 100kHz,Rated ripple current (mArms) 105℃ 100kHz
6.3,330.0,6.3×11.5,D11,0.32,0.64,290
6.3,470.0,8×12,E12,0.17,0.34,555
6.3,680.0,8×12,E12,0.17,0.34,555
6.3,1000.0,10×12.5,F12,0.12,0.24,760
6.3,2200.0,10×25,F25,0.052,0.104,1440
6.3,3300.0,12.5×20,G20,0.042,0.084,1690
6.3,4700.0,12.5×30,G30,0.03,0.06,2310
6.3,6800.0,16×25,J25,0.028,0.056,2560
6.3,10000.0,16×31.5,J31,0.025,0.05,3010
10.0,100.0,5×11.5,C11,0.65,1.3,181
10.0,220.0,6.3×11.5,D11,0.32,0.64,290
10.0,330.0,8×12,E12,0.17,0.34,555
10.0,470.0,8×12,E12,0.17,0.34,555
10.0,680.0,10×12.5,F12,0.12,0.24,760
10.0,1000.0,10×16,F16,0.08,0.16,1050
10.0,2200.0,12.5×20,G20,0.042,0.084,1690
10.0,3300.0,12.5×25,G25,0.034,0.068,1950
10.0,4700.0,16×25,J25,0.028,0.056,2560
10.0,6800.0,16×31.5,J31,0.025,0.05,3010
16.0,330.0,8×12,E12,0.17,0.34,555
16.0,470.0,10×12.5,F12,0.12,0.24,760
16.0,680.0,10×16,F16,0.08,0.16,1050
16.0,1000.0,10×20,F20,0.062,0.124,1220
16.0,2200.0,12.5×25,G25,0.034,0.068,1950
16.0,3300.0,16×25,J25,0.028,0.056,2560
16.0,4700.0,16×31.5,J31,0.025,0.05,3010
25.0,22.0,5×11.5,C11,0.65,1.3,181
25.0,33.0,6.3×11.5,D11,0.32,0.64,290
25.0,47.0,8×12,E12,0.17,0.34,555
25.0,100.0,10×12.5,F12,0.12,0.24,760
25.0,220.0,10×16,F16,0.08,0.16,1050
25.0,330.0,10×20,F20,0.062,0.124,1220
25.0,470.0,12.5×20,G20,0.042,0.084,1690
25.0,1000.0,12.5×25,G25,0.034,0.068,1950
25.0,2200.0,16×31.5,J31,0.025,0.05,3010
35.0,22.0,5×11.5,C11,0.65,1.3,181
35.0,33.0,6.3×11.5,D11,0.32,0.64,290
35.0,47.0,8×12,E12,0.17,0.34,555
35.0,100.0,10×12.5,F12,0.12,0.24,760
35.0,220.0,10×16,F16,0.08,0.16,1050
35.0,330.0,10×20,F20,0.062,0.124,1220
35.0,470.0,12.5×20,G20,0.042,0.084,1690
35.0,680.0,12.5×25,G25,0.034,0.068,1950
35.0,1000.0,16×31.5,J31,0.025,0.05,3010
50.0,22.0,5×11.5,C11,0.95,1.9,170
50.0,33.0,6.3×11.5,D11,0.46,0.92,260
50.0,47.0,6.3×11.5,D11,0.46,0.92,260
50.0,100.0,8×12,E12,0.21,0.42,485
50.0,150.0,10×12.5,F12,0.19,0.38,615
50.0,220.0,10×16,F16,0.16,0.32,850
50.0,330.0,10×20,F20,0.085,0.17,1050
50.0,470.0,12.5×20,G20,0.06,0.12,1500
50.0,680.0,12.5×25,G25,0.045,0.09,1832
50.0,1000.0,16×25,J25,0.038,0.076,2240
63.0,3.3,5×11.5,C11,1.2,3.6,120
63.0,4.7,5×11.5,C11,1.2,3.6,120
63.0,10.0,6.3×11.5,D11,0.55,1.7,148
63.0,22.0,6.3×11.5,D11,0.55,1.7,148
63.0,33.0,8×12,E12,0.32,0.96,360
63.0,47.0,10×12.5,F12,0.23,0.69,448
63.0,100.0,10×20,F20,0.12,0.36,676
63.0,220.0,12.5×20,G20,0.075,0.23,979
63.0,330.0,12.5×25,G25,0.065,0.2,1180
63.0,470.0,16×31.5,J31,0.042,0.13,1890
100.0,3.3,5×11.5,C11,1.9,7.6,57
100.0,4.7,5×11.5,C11,1.9,7.6,57
100.0,10.0,6.3×11.5,D11,1.1,4.4,78
100.0,22.0,8×12,E12,0.53,2.1,275
100.0,33.0,10×12.5,F12,0.47,1.9,319
100.0,47.0,10×16,F16,0.32,1.3,424
100.0,100.0,12.5×20,G20,0.13,0.52,805
100.0,220.0,16×25,J25,0.081,0.32,1290
100.0,330.0,16×25,J25,0.081,0.32,1290
100.0,470.0,16×31.5,J31,0.059,0.23,1630
