Rated capacitance (µF),Voltage (Vdc),CV,50Hz to 60Hz,120Hz,1kHz,10kHz to 100kHz
830 to 1100,,,0.7,0.75,0.9,1
1200 to 11000,,,0.8,0.85,0.95,1
