Rated voltage (V),Rated capacitance (µF),Case φD × L (mm),Size code,ESR (Ω max. / 100kHz) 20℃,ESR (Ω max. / 100kHz) -40℃,Rated ripple current (mArms / 100kHz) 135℃,Rated ripple current (mArms / 100kHz) 125℃
25,2000,12.5 × 20,G20,0.042,0.48,1690,2760
25,3000,12.5 × 25,G25,0.033,0.3,2010,3480
25,3300,16 × 20,J20,0.035,0.27,2160,3040
25,3600,12.5 × 30,G30,0.028,0.24,2900,4490
25,4300,18 × 20,K20,0.034,0.22,2320,3250
25,4700,12.5 × 35,G35,0.025,0.21,3190,5140
25,4700,16 × 25,J25,0.028,0.22,2870,4260
25,5100,12.5 × 40,G40,0.024,0.19,3470,5810
25,5600,16 × 31.5,J31,0.023,0.18,3400,5480
25,7500,16 × 35.5,J35,0.02,0.14,3630,6070
25,7500,18 × 31.5,K31,0.022,0.16,3470,5600
25,9100,16 × 40,J40,0.019,0.12,3930,6810
25,10000,18 × 35.5,K35,0.019,0.12,3750,6280
25,12000,18 × 40,K40,0.018,0.1,4080,7070
35,1300,12.5 × 20,G20,0.042,0.48,1690,2760
35,1800,12.5 × 25,G25,0.033,0.3,2010,3480
35,2000,16 × 20,J20,0.035,0.27,2160,3040
35,2200,12.5 × 30,G30,0.028,0.24,2900,4490
35,2400,18 × 20,K20,0.034,0.22,2320,3250
35,2700,12.5 × 35,G35,0.025,0.21,3190,5140
35,3000,16 × 25,J25,0.028,0.22,2870,4260
35,3300,12.5 × 40,G40,0.024,0.19,3470,5810
35,3600,16 × 31.5,J31,0.023,0.18,3400,5480
35,3900,18 × 25,K25,0.027,0.19,2900,4500
35,4300,16 × 35.5,J35,0.02,0.14,3630,6070
35,4700,18 × 31.5,K31,0.022,0.16,3470,5600
35,5600,16 × 40,J40,0.019,0.12,3930,6810
35,6200,18 × 35.5,K35,0.019,0.12,3750,6280
35,7500,18 × 40,K40,0.018,0.1,4080,7070
50,620,12.5 × 20,G20,0.073,0.88,1470,2400
50,820,12.5 × 25,G25,0.058,0.67,2260,3350
50,1000,16 × 20,J20,0.05,0.55,1870,2960
50,1100,12.5 × 30,G30,0.048,0.52,2520,4220
50,1300,12.5 × 35,G35,0.042,0.44,2780,4810
50,1300,16 × 25,J25,0.042,0.44,2500,4040
50,1300,18 × 20,K20,0.042,0.44,2110,3130
50,1600,12.5 × 40,G40,0.037,0.36,3020,5240
50,1600,16 × 31.5,J31,0.035,0.36,2960,5130
50,1800,18 × 25,K25,0.033,0.32,2530,4230
50,2200,16 × 35.5,J35,0.029,0.27,3160,5480
50,2400,18 × 31.5,K31,0.028,0.25,3020,5240
50,2700,16 × 40,J40,0.025,0.22,3420,5930
50,3000,18 × 35.5,K35,0.024,0.2,3390,5870
50,3600,18 × 40,K40,0.023,0.16,3700,6420
63,270,12.5 × 20,G20,0.072,0.56,1420,1640
63,390,12.5 × 20,G20,0.072,0.56,1420,1640
63,560,12.5 × 25,G25,0.052,0.39,2050,2520
63,680,16 × 20,J20,0.053,0.34,1910,2140
63,750,12.5 × 30,G30,0.042,0.3,2630,3110
63,910,12.5 × 35,G35,0.035,0.25,2970,3760
63,910,18 × 20,K20,0.044,0.26,2100,2350
63,1000,16 × 25,J25,0.038,0.23,2680,2940
63,1100,12.5 × 40,G40,0.031,0.22,3260,4610
63,1200,16 × 31.5,J31,0.034,0.2,3050,3860
63,1300,18 × 25,K25,0.033,0.19,2810,3080
63,1600,16 × 35.5,J35,0.027,0.15,3420,4590
63,1600,18 × 31.5,K31,0.028,0.15,3220,4080
63,1800,16 × 40,J40,0.025,0.14,3670,5190
63,2200,18 × 35.5,K35,0.022,0.12,3690,5220
63,2400,18 × 40,K40,0.021,0.11,3820,5660
80,270,12.5 × 20,G20,0.072,0.56,1420,1640
80,390,12.5 × 25,G25,0.052,0.39,2050,2520
80,470,16 × 20,J20,0.053,0.34,1910,2140
80,510,12.5 × 30,G30,0.042,0.3,2630,3110
80,620,12.5 × 35,G35,0.035,0.25,2970,3760
80,620,18 × 20,K20,0.044,0.26,2100,2350
80,680,16 × 25,J25,0.038,0.23,2680,2940
80,750,12.5 × 40,G40,0.031,0.22,3260,4610
80,750,16 × 31.5,J31,0.034,0.2,3050,3860
80,820,18 × 25,K25,0.033,0.19,2810,3080
80,1000,16 × 35.5,J35,0.027,0.15,3420,4590
80,1100,18 × 31.5,K31,0.028,0.15,3220,4080
80,1300,16 × 40,J40,0.025,0.14,3670,5190
80,1300,18 × 35.5,K35,0.022,0.12,3690,5220
80,1600,18 × 40,K40,0.021,0.11,3820,5660
