Rated voltage (V),Rated capacitance (µF),Case φD × L (mm),Size code,"ESR (Ω max.) 20℃, 100kHz","ESR (Ω max.) -10℃, 100kHz","Rated ripple current (mArms) 105℃, 100kHz"
6.3,150,5 × 11.5,C11,0.5,1.0,182
6.3,330,6.3 × 11.5,D11,0.25,0.5,295
6.3,470,8 × 12,E12,0.117,0.234,567
6.3,560,8 × 12,E12,0.117,0.234,567
6.3,680,8 × 12,E12,0.117,0.234,567
6.3,1000,8 × 15,E15,0.085,0.17,733
6.3,1000,10 × 12.5,F12,0.09,0.18,764
6.3,1200,10 × 12.5,F12,0.09,0.18,764
6.3,1200,10 × 16,F16,0.068,0.136,1060
6.3,1500,8 × 20,E20,0.065,0.13,996
6.3,1500,10 × 16,F16,0.068,0.136,1060
6.3,1800,12.5 × 15,G15,0.062,0.124,1210
6.3,2200,10 × 20,F20,0.052,0.104,1230
6.3,2200,10 × 25,F25,0.045,0.09,1450
6.3,2700,10 × 25,F25,0.045,0.09,1450
6.3,3300,10 × 30,F30,0.035,0.07,1830
6.3,3300,12.5 × 20,G20,0.038,0.076,1700
6.3,3900,12.5 × 25,G25,0.03,0.06,1950
6.3,4700,12.5 × 25,G25,0.03,0.06,1950
6.3,4700,18 × 16,K16,0.038,0.076,2010
6.3,5600,12.5 × 30,G30,0.025,0.05,2330
6.3,5600,16 × 20,J20,0.029,0.058,2230
6.3,6800,12.5 × 35,G35,0.022,0.044,2620
6.3,8200,12.5 × 40,G40,0.017,0.034,3160
6.3,8200,16 × 25,J25,0.022,0.044,2650
6.3,8200,18 × 20,K20,0.028,0.056,2500
6.3,10000,16 × 31.5,J31,0.018,0.036,3210
6.3,10000,18 × 25,K25,0.02,0.04,3000
6.3,12000,18 × 25,K25,0.02,0.04,3000
6.3,15000,18 × 35.5,K35,0.015,0.03,3960
6.3,18000,18 × 40,K40,0.014,0.028,4300
10.0,100,5 × 11.5,C11,0.5,1.0,182
10.0,180,6.3 × 11.5,D11,0.25,0.5,295
10.0,220,6.3 × 11.5,D11,0.25,0.5,295
10.0,330,8 × 12,E12,0.117,0.234,567
10.0,470,8 × 12,E12,0.117,0.234,567
10.0,560,8 × 12,E12,0.117,0.234,567
10.0,820,8 × 15,E15,0.085,0.17,733
10.0,820,10 × 12.5,F12,0.09,0.18,764
10.0,1000,8 × 20,E20,0.065,0.13,996
10.0,1000,10 × 12.5,F12,0.09,0.18,764
10.0,1000,10 × 16,F16,0.068,0.136,1060
10.0,1200,10 × 20,F20,0.052,0.104,1230
10.0,1200,10 × 16,F16,0.068,0.136,1060
10.0,1500,10 × 20,F20,0.052,0.104,1230
10.0,1500,12.5 × 15,G15,0.062,0.124,1210
10.0,1800,10 × 20,F20,0.052,0.104,1230
10.0,1800,10 × 25,F25,0.045,0.09,1450
10.0,2200,10 × 25,F25,0.045,0.09,1450
10.0,2200,12.5 × 20,G20,0.038,0.076,1700
10.0,2700,10 × 30,F30,0.035,0.07,1830
10.0,2700,12.5 × 20,G20,0.038,0.076,1700
10.0,3300,12.5 × 25,G25,0.03,0.06,1950
10.0,3300,16 × 20,J20,0.029,0.058,2230
10.0,3900,12.5 × 25,G25,0.03,0.06,1950
10.0,3900,18 × 16,K16,0.038,0.076,2010
10.0,4700,12.5 × 30,G30,0.025,0.05,2330
10.0,4700,16 × 20,J20,0.029,0.058,2230
10.0,5600,12.5 × 35,G35,0.022,0.044,2620
10.0,5600,16 × 25,J25,0.022,0.044,2650
10.0,6800,12.5 × 40,G40,0.017,0.034,3160
10.0,6800,16 × 31.5,J31,0.018,0.036,3210
10.0,8200,16 × 31.5,J31,0.018,0.036,3210
10.0,8200,18 × 25,K25,0.02,0.04,3000
10.0,10000,16 × 40,J40,0.015,0.03,3880
10.0,10000,18 × 35.5,K35,0.015,0.03,3960
10.0,12000,18 × 40,K40,0.014,0.028,4300
10.0,15000,18 × 40,K40,0.014,0.028,4300
16.0,22,5 × 11.5,C11,0.5,1.0,182
16.0,33,5 × 11.5,C11,0.5,1.0,182
16.0,47,5 × 11.5,C11,0.5,1.0,182
16.0,82,5 × 11.5,C11,0.5,1.0,182
16.0,100,6.3 × 11.5,D11,0.25,0.5,295
16.0,150,6.3 × 11.5,D11,0.25,0.5,295
16.0,180,8 × 12,E12,0.117,0.234,567
16.0,220,8 × 12,E12,0.117,0.234,567
16.0,330,8 × 12,E12,0.117,0.234,567
16.0,390,8 × 12,E12,0.117,0.234,567
16.0,470,8 × 15,E15,0.085,0.17,733
16.0,470,10 × 12.5,F12,0.09,0.18,764
16.0,560,8 × 20,E20,0.065,0.13,996
16.0,680,8 × 15,E15,0.085,0.17,733
16.0,680,10 × 12.5,F12,0.09,0.18,764
16.0,820,8 × 20,E20,0.065,0.13,996
16.0,820,10 × 16,F16,0.068,0.136,1060
16.0,1000,10 × 16,F16,0.068,0.136,1060
16.0,1000,10 × 20,F20,0.052,0.104,1230
16.0,1200,10 × 20,F20,0.052,0.104,1230
16.0,1200,10 × 25,F25,0.045,0.09,1450
16.0,1500,10 × 25,F25,0.045,0.09,1450
16.0,1500,10 × 30,F30,0.035,0.07,1830
16.0,1800,10 × 30,F30,0.035,0.07,1830
16.0,1800,12.5 × 20,G20,0.038,0.076,1700
16.0,1800,16 × 16,J16,0.043,0.086,1700
16.0,2200,10 × 30,F30,0.035,0.07,1830
16.0,2200,12.5 × 20,G20,0.038,0.076,1700
16.0,2200,16 × 16,J16,0.043,0.086,1700
16.0,2700,12.5 × 25,G25,0.03,0.06,1950
16.0,2700,18 × 16,K16,0.038,0.076,2010
16.0,3300,12.5 × 30,G30,0.025,0.05,2330
16.0,3300,16 × 20,J20,0.029,0.058,2230
16.0,3900,12.5 × 35,G35,0.022,0.044,2620
16.0,3900,16 × 20,J20,0.029,0.058,2230
16.0,4700,12.5 × 40,G40,0.017,0.034,3160
16.0,4700,16 × 25,J25,0.022,0.044,2650
16.0,4700,18 × 20,K20,0.028,0.056,2500
16.0,5600,16 × 25,J25,0.022,0.044,2650
16.0,5600,16 × 31.5,J31,0.018,0.036,3210
16.0,6800,16 × 31.5,J31,0.018,0.036,3210
16.0,6800,18 × 25,K25,0.02,0.04,3000
16.0,8200,18 × 35.5,K35,0.015,0.03,3960
16.0,10000,18 × 40,K40,0.014,0.028,4300
25.0,10,5 × 11.5,C11,0.5,1.0,182
25.0,22,5 × 11.5,C11,0.5,1.0,182
25.0,27,5 × 11.5,C11,0.5,1.0,182
25.0,33,5 × 11.5,C11,0.5,1.0,182
25.0,47,5 × 11.5,C11,0.5,1.0,182
25.0,56,5 × 11.5,C11,0.5,1.0,182
25.0,82,6.3 × 11.5,D11,0.25,0.5,295
25.0,100,6.3 × 11.5,D11,0.25,0.5,295
25.0,150,8 × 12,E12,0.117,0.234,567
25.0,180,8 × 12,E12,0.117,0.234,567
25.0,220,8 × 12,E12,0.117,0.234,567
25.0,270,8 × 12,E12,0.117,0.234,567
25.0,330,8 × 12,E12,0.117,0.234,567
25.0,330,10 × 12.5,F12,0.09,0.18,764
25.0,390,8 × 15,E15,0.085,0.17,733
25.0,470,8 × 15,E15,0.085,0.17,733
25.0,470,10 × 12.5,F12,0.09,0.18,764
25.0,560,8 × 20,E20,0.065,0.13,996
25.0,560,10 × 16,F16,0.068,0.136,1060
25.0,680,10 × 16,F16,0.068,0.136,1060
25.0,680,10 × 20,F20,0.052,0.104,1230
25.0,680,12.5 × 15,G15,0.062,0.124,1210
25.0,820,10 × 20,F20,0.052,0.104,1230
25.0,820,12.5 × 15,G15,0.062,0.124,1210
25.0,1000,10 × 25,F25,0.045,0.09,1450
25.0,1000,12.5 × 20,G20,0.038,0.076,1700
25.0,1200,12.5 × 20,G20,0.038,0.076,1700
25.0,1200,18 × 16,K16,0.038,0.076,2010
25.0,1500,10 × 30,F30,0.035,0.07,1830
25.0,1500,16 × 16,J16,0.043,0.086,1700
25.0,1800,12.5 × 25,G25,0.03,0.06,1950
25.0,1800,16 × 16,J16,0.043,0.086,1700
25.0,1800,18 × 16,K16,0.038,0.076,2010
25.0,2200,12.5 × 30,G30,0.025,0.05,2330
25.0,2200,16 × 20,J20,0.029,0.058,2230
25.0,2200,18 × 16,K16,0.038,0.076,2010
25.0,2700,12.5 × 35,G35,0.022,0.044,2620
25.0,2700,18 × 20,K20,0.028,0.056,2500
25.0,3300,12.5 × 40,G40,0.017,0.034,3160
25.0,3300,16 × 25,J25,0.022,0.044,2650
25.0,3300,18 × 20,K20,0.028,0.056,2500
25.0,3900,18 × 25,K25,0.02,0.04,3000
25.0,4700,18 × 25,K25,0.02,0.04,3000
25.0,5600,18 × 35.5,K35,0.015,0.03,3960
25.0,6800,18 × 35.5,K35,0.015,0.03,3960
25.0,8200,18 × 40,K40,0.014,0.028,4300
25.0,10000,18 × 40,K40,0.014,0.028,4300
35.0,10,5 × 11.5,C11,0.5,1.0,182
35.0,22,5 × 11.5,C11,0.5,1.0,182
35.0,27,5 × 11.5,C11,0.5,1.0,182
