Rated voltage (V),Rated capacitance (µF),Case φD×L (mm),"Rated ripple current (mArms) 85℃, 120Hz"
6.3,3.3,—,—
6.3,4.7,—,—
6.3,10.0,—,—
6.3,22.0,4×5.3,20
6.3,33.0,5×5.3,29
6.3,47.0,5×5.3,34
6.3,100.0,6.3×5.3,58
6.3,220.0,8×6.5,107
6.3,330.0,8×10,153
6.3,470.0,8×10,183
10.0,3.3,—,—
10.0,4.7,—,—
10.0,10.0,—,—
10.0,22.0,—,—
10.0,33.0,5×5.3,31
10.0,47.0,6.3×5.3,43
10.0,100.0,8×6.5,79
10.0,220.0,8×10,136
10.0,330.0,8×10,166
10.0,470.0,10×10,229
16.0,3.3,—,—
16.0,4.7,4×5.3,11
16.0,10.0,5×5.3,19
16.0,22.0,5×5.3,28
16.0,33.0,6.3×5.3,40
16.0,47.0,6.3×5.3,47
16.0,100.0,8×6.5,87
16.0,220.0,8×10,149
16.0,330.0,10×10,221
16.0,470.0,—,—
25.0,3.3,—,—
25.0,4.7,4×5.3,12
25.0,10.0,5×5.3,21
25.0,22.0,6.3×5.3,36
25.0,33.0,6.3×5.3,44
25.0,47.0,8×6.5,66
25.0,100.0,8×10,112
25.0,220.0,10×10,192
25.0,330.0,—,—
25.0,470.0,—,—
35.0,3.3,4×5.3,11
35.0,4.7,4×5.3,13
35.0,10.0,5×5.3,22
35.0,22.0,6.3×5.3,39
35.0,33.0,8×6.5,60
35.0,47.0,8×10,82
35.0,100.0,10×10,139
35.0,220.0,—,—
35.0,330.0,—,—
35.0,470.0,—,—
