Rated capacitance (µF),120Hz,1kHz,10kHz,100kHz
1 to 4.7,0.4,0.68,0.78,1
5.6 to 47,0.5,0.76,0.87,1
56 to 270,0.7,0.85,0.9,1
330 to 1000,0.8,0.93,0.98,1
1200 to 15000,0.9,0.95,1.0,1
