Capacitance (μF),50Hz to 60Hz,120Hz,500Hz,1kHz,10kHz,≥100kHz
8.2 to 82,0.8,1.0,1.3,1.5,2.1,2.5
100 to 150,0.8,1.0,1.3,1.5,2.0,2.25
