Capacitance (µF),120Hz,1kHz,10kHz,≥100kHz
240 to 680,0.55,0.78,0.95,1.0
750 to 1800,0.6,0.8,0.96,1.0
2000 to 5600,0.7,0.86,0.98,1.0
