Rated Voltage (Vdc),Capacitance (μF),Size φD×L(mm),Rated Ripple Current
10,100.0,5×11,130
10,220.0,6.3×11,210
10,330.0,8×11.5,330
16,47.0,5×11,130
16,100.0,6.3×11,210
16,220.0,8×11.5,330
25,33.0,5×11,130
25,47.0,5×11,130
25,100.0,6.3×11,210
35,33.0,5×11,130
35,47.0,6.3×11,210
35,100.0,8×11.5,330
50,1.0,5×11,25
50,2.2,5×11,35
50,3.3,5×11,70
50,4.7,5×11,80
50,10.0,5×11,90
50,22.0,5×11,135
50,33.0,6.3×11,190
50,47.0,6.3×11,190
50,100.0,8×11.5,270
63,10.0,5×11,80
63,22.0,6.3×11,170
63,33.0,6.3×11,170
63,47.0,8×11.5,240
100,1.0,5×11,40
100,2.2,5×11,50
100,3.3,5×11,60
100,4.7,5×11,70
100,10.0,6.3×11,150
100,22.0,8×11.5,230
