Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 120Hz,Rated Ripple Current 100kHz
35,180,6.3×25,0.605,1.21
35,220,6.3×30,0.685,1.37
35,330,6.3×40,0.924,1.68
35,390,6.3×50,1.11,2.02
35,390,8×25,0.951,1.73
35,470,8×30,1.11,2.03
35,680,8×40,1.41,2.57
35,820,8×50,1.82,3.04
35,820,10×30,1.48,2.47
35,1000,8×60,2.08,3.48
35,1200,10×40,1.87,3.12
35,1500,10×50,2.21,3.69
35,1800,10×60,2.5,4.17
50,100,6.3×25,0.51,1.02
50,120,6.3×30,0.58,1.16
50,180,6.3×40,0.71,1.42
50,220,6.3×50,0.86,1.72
50,220,8×25,0.74,1.48
50,270,8×30,0.87,1.74
50,390,8×40,1.22,2.23
50,470,8×50,1.45,2.65
50,470,10×30,1.22,2.22
50,560,8×60,1.68,3.07
50,680,10×40,1.55,2.82
50,820,10×50,2.02,3.37
50,1000,10×60,2.31,3.86
63,82,6.3×25,0.455,0.91
63,100,6.3×30,0.515,1.03
63,150,6.3×40,0.635,1.27
63,180,6.3×50,0.775,1.55
63,180,8×25,0.665,1.33
63,220,8×30,0.785,1.57
63,330,8×40,1.11,2.02
63,390,8×50,1.32,2.41
63,390,10×30,1.16,2.1
63,470,8×60,1.54,2.8
63,560,10×40,1.43,2.6
63,680,10×50,1.71,3.12
63,820,10×60,2.15,3.59
80,47,6.3×25,0.455,0.91
80,56,6.3×30,0.515,1.03
80,82,6.3×40,0.635,1.27
80,100,6.3×50,0.775,1.55
80,100,8×25,0.665,1.33
80,120,8×30,0.785,1.57
80,180,8×40,1.01,2.02
80,220,8×50,1.2,2.41
80,220,10×30,1.05,2.1
80,270,8×60,1.4,2.8
80,270,10×40,1.3,2.6
80,390,10×50,1.71,3.12
80,470,10×60,1.97,3.59
100,33,6.3×25,0.382,0.91
100,39,6.3×30,0.515,1.03
100,56,6.3×40,0.635,1.27
100,68,6.3×50,0.775,1.55
100,82,8×25,0.665,1.33
100,100,8×30,0.785,1.57
100,120,8×40,1.01,2.02
100,150,8×50,1.2,2.41
100,150,10×30,1.05,2.1
100,220,8×60,1.4,2.8
100,220,10×40,1.3,2.6
100,270,10×50,1.56,3.12
100,330,10×60,1.97,3.59
160,56,8×25,0.32,0.448
160,68,8×30,0.37,0.518
160,82,8×35,0.43,0.602
160,82,10×25,0.43,0.602
160,100,8×40,0.49,0.686
160,120,8×55,0.57,0.798
160,120,10×30,0.54,0.756
160,150,10×40,0.67,0.938
160,150,12.5×25,0.66,0.924
160,180,10×50,0.8,1.12
160,180,12.5×30,0.77,1.07
160,220,10×60,0.94,1.31
160,220,12.5×35,0.89,1.24
160,220,16×25,0.93,1.3
160,270,12.5×40,1.01,1.41
160,330,12.5×50,1.2,1.68
160,330,16×30,1.2,1.68
160,330,18×25,1.18,1.65
160,390,12.5×55,1.35,1.89
160,390,16×35,1.34,1.87
160,390,18×30,1.4,1.96
160,470,16×40,1.52,2.12
160,470,18×35,1.58,2.21
160,560,16×50,1.79,2.5
160,560,18×40,1.78,2.49
160,680,18×45,2.0,2.8
160,820,18×50,2.23,3.12
200,39,8×25,0.3,0.42
200,56,8×30,0.37,0.518
200,68,8×40,0.45,0.63
200,68,10×25,0.43,0.602
200,82,8×45,0.51,0.714
200,82,10×30,0.5,0.7
200,100,8×55,0.6,0.84
200,100,10×40,0.63,0.882
200,120,10×45,0.75,1.05
200,120,12.5×25,0.65,0.91
200,150,10×50,0.83,1.16
200,150,12.5×30,0.8,1.12
200,180,10×60,0.91,1.27
200,180,12.5×35,0.92,1.28
