Rated Voltage,Capacitance,Size φD×L,Rated Ripple Current 120Hz,Rated Ripple Current 100kHz
400,39,10×30,0.41,0.902
400,39,12.5×20,0.39,0.858
400,47,10×35,0.48,1.056
400,47,12.5×25,0.46,1.012
400,47,14.5×20,0.46,1.012
400,56,10×40,0.54,1.188
400,56,16×20,0.52,1.144
400,68,10×45,0.61,1.342
400,68,10×50,0.64,1.408
400,68,12.5×30,0.58,1.276
400,68,12.5×35,0.62,1.364
400,68,14.5×25,0.59,1.298
400,82,10×55,0.72,1.584
400,82,10×60,0.74,1.628
400,82,12.5×40,0.7,1.54
400,82,14.5×30,0.68,1.496
400,82,16×25,0.66,1.452
400,82,18×20,0.63,1.386
400,100,12.5×45,0.8,1.6
400,100,12.5×50,0.83,1.66
400,100,14.5×35,0.78,1.56
400,100,16×30,0.77,1.54
400,120,14.5×40,0.89,1.78
400,120,14.5×45,0.92,1.84
400,120,16×35,0.88,1.76
400,120,18×25,0.79,1.58
400,150,14.5×50,1.06,2.12
400,150,16×40,1.01,2.02
400,150,18×30,0.93,1.86
400,180,16×45,1.14,2.28
400,180,16×50,1.18,2.36
400,180,18×35,1.06,2.12
400,180,18×40,1.14,2.28
400,220,18×45,1.29,2.58
400,220,18×50,1.34,2.68
420,33,12.5×20,0.34,0.748
420,39,10×30,0.38,0.836
420,47,10×35,0.44,0.968
420,47,12.5×25,0.43,0.946
420,47,14.5×20,0.42,0.924
420,56,10×40,0.49,1.078
420,56,10×45,0.52,1.144
420,56,12.5×30,0.5,1.1
420,56,14.5×25,0.5,1.1
420,56,16×20,0.48,1.056
420,68,10×50,0.59,1.298
420,68,10×55,0.61,1.342
420,68,12.5×35,0.57,1.254
420,68,18×20,0.55,1.21
420,82,10×60,0.68,1.496
420,82,12.5×40,0.65,1.43
420,82,14.5×30,0.63,1.386
420,82,16×25,0.61,1.342
420,100,12.5×45,0.73,1.46
420,100,12.5×50,0.77,1.54
420,100,14.5×35,0.72,1.44
420,100,14.5×40,0.76,1.52
420,100,16×30,0.72,1.44
420,100,18×25,0.7,1.4
420,120,14.5×45,0.86,1.72
420,120,14.5×50,0.89,1.78
420,120,16×35,0.82,1.64
420,120,18×30,0.81,1.62
420,150,16×40,0.93,1.86
420,150,16×45,0.98,1.96
420,150,18×35,0.94,1.88
420,180,16×50,1.1,2.2
420,180,18×40,1.06,2.12
420,220,18×45,1.2,2.4
420,220,18×50,1.25,2.5
450,27,12.5×20,0.31,0.682
450,33,10×30,0.36,0.792
450,39,10×35,0.41,0.902
450,39,12.5×25,0.4,0.88
450,39,14.5×20,0.39,0.858
450,47,10×40,0.46,1.012
450,47,16×20,0.45,0.99
450,56,10×45,0.52,1.144
450,56,10×50,0.54,1.188
450,56,12.5×30,0.49,1.078
450,56,14.5×25,0.5,1.1
450,68,10×55,0.61,1.342
450,68,10×60,0.63,1.386
450,68,12.5×35,0.56,1.232
450,68,12.5×40,0.6,1.32
450,68,14.5×30,0.58,1.276
450,68,16×25,0.57,1.254
450,68,18×20,0.54,1.188
450,82,12.5×45,0.68,1.496
450,82,12.5×50,0.7,1.54
450,82,14.5×35,0.67,1.474
450,82,16×30,0.65,1.43
450,82,18×25,0.64,1.408
450,100,14.5×40,0.76,1.52
450,100,16×35,0.75,1.5
450,120,14.5×45,0.85,1.7
450,120,14.5×50,0.89,1.78
450,120,16×40,0.86,1.72
450,120,18×30,0.8,1.6
450,150,16×45,0.98,1.96
450,150,16×50,1.02,2.04
450,150,18×35,0.92,1.84
450,150,18×40,0.98,1.96
450,180,18×45,1.11,2.22
450,220,18×50,1.23,2.46
500,18,12.5×20,0.25,0.55
500,22,12.5×25,0.29,0.638
500,22,14.5×20,0.28,0.616
500,27,16×20,0.32,0.704
500,33,12.5×30,0.36,0.792
500,33,12.5×35,0.38,0.836
500,33,14.5×25,0.37,0.814
500,39,12.5×40,0.44,0.968
500,39,12.5×45,0.5,1.1
500,39,14.5×30,0.43,0.946
500,39,16×25,0.42,0.924
500,39,18×20,0.41,0.902
500,47,12.5×50,0.56,1.232
500,47,14.5×35,0.49,1.078
500,47,16×30,0.48,1.056
500,56,14.5×40,0.55,1.21
500,56,14.5×45,0.62,1.364
500,56,16×35,0.59,1.298
500,56,18×25,0.51,1.122
500,56,18×30,0.59,1.298
500,68,14.5×50,0.69,1.518
500,68,16×40,0.62,1.364
500,82,16×45,0.71,1.562
500,82,16×50,0.79,1.738
500,82,18×35,0.68,1.496
500,82,18×40,0.77,1.694
500,100,18×45,0.86,1.72
500,120,18×50,0.91,1.82
