Capacitance (µF),120Hz,1kHz,10kHz,≥100kHz
390 to 560,0.5,0.74,0.94,1.0
680 to 1800,0.6,0.74,0.94,1.0
2000 to 3600,0.64,0.75,0.95,1.0
