Rated Voltage (Vdc),Capacitance (μF),Size φD×L(mm),Rated Ripple Current 125C 100kHz,ESR (Ω MAX) 20℃ 100kHz,ESR (Ω MAX) -40℃ 100kHz
25,750,10×16,1300,0.078,0.52
25,1200,10×20,1540,0.058,0.39
25,1500,10×25,1880,0.042,0.3
25,1800,12.5×20,1590,0.038,0.22
25,2700,12.5×25,2280,0.03,0.16
25,3000,16×20,1890,0.029,0.13
25,3300,12.5×30,2760,0.025,0.13
25,4300,16×25,3030,0.022,0.092
25,4300,18×20,1930,0.028,0.11
25,5100,16×30,3330,0.018,0.071
25,5600,18×25,3200,0.02,0.081
25,7500,18×30,3480,0.016,0.066
35,510,10×16,1300,0.078,0.52
35,680,10×20,1540,0.058,0.39
35,820,10×25,1880,0.042,0.3
35,1100,12.5×20,1590,0.038,0.22
35,1500,12.5×25,2280,0.03,0.16
35,2000,12.5×30,2760,0.025,0.13
35,2000,16×20,1890,0.029,0.13
35,2400,16×25,3030,0.022,0.092
35,2400,18×20,1930,0.028,0.11
35,3300,16×30,3330,0.018,0.071
35,3300,18×25,3200,0.02,0.081
35,4300,18×30,3480,0.016,0.066
50,240,10×16,1080,0.12,0.94
50,330,10×20,1290,0.088,0.69
50,430,10×25,1740,0.062,0.48
50,510,12.5×20,1410,0.06,0.41
50,750,12.5×25,2030,0.044,0.3
50,910,16×20,1740,0.042,0.21
50,1000,12.5×30,2510,0.036,0.25
50,1200,18×20,1830,0.04,0.2
50,1300,16×25,2690,0.03,0.16
50,1600,16×30,3150,0.025,0.13
50,1800,18×25,2900,0.029,0.15
50,2200,18×30,3330,0.024,0.12
63,390,12.5×20,1310,0.094,0.48
63,510,12.5×25,1880,0.069,0.36
63,620,16×20,1630,0.062,0.24
63,680,12.5×30,2410,0.052,0.29
63,820,18×20,1750,0.055,0.22
63,910,16×25,2300,0.047,0.18
63,1100,16×30,2940,0.037,0.14
63,1200,18×25,2440,0.042,0.16
63,1500,18×30,3100,0.034,0.13
80,180,10×20,1250,0.134,1.7
80,240,10×25,1530,0.101,1.2
80,270,12.5×20,1310,0.103,0.94
80,330,12.5×25,1880,0.075,0.7
80,470,12.5×30,2410,0.06,0.52
80,470,16×20,1630,0.064,0.53
80,680,16×25,2300,0.046,0.39
80,820,16×30,2940,0.037,0.33
80,620,18×20,1790,0.057,0.39
80,820,18×25,2440,0.041,0.32
80,1000,18×30,3100,0.034,0.26
