Rated Voltage (Vdc),Capacitance (μF),Size φD×L(mm),Rated ripple current Io 135℃ (mA r.m.s./100kHz),Rated ripple current Io 125℃ (mA r.m.s./100kHz),ESR (ΩMAX/20℃@100kHz),MAX ripple current IMAX 135℃ (mA r.m.s./100kHz),MAX ripple current IMAX 125℃ (mA r.m.s./100kHz),MAX ripple current IMAX 105℃ (mA r.m.s./100kHz)
25,910,12.5×20,2060,2870,0.046,2260,2920,3910
25,1300,12.5×25,2610,3640,0.034,2860,3700,4960
25,1600,12.5×20,2060,2870,0.046,2260,2920,3910
25,1600,12.5×30,3030,4230,0.029,3330,4300,5770
25,1600,16×20,2320,3240,0.034,2550,3300,4420
25,2000,18×20,2490,3470,0.033,2730,3520,4730
25,2200,16×25,2930,4090,0.025,3210,4150,5570
25,2400,12.5×25,2610,3640,0.034,2860,3700,4960
25,2700,16×30,3280,4580,0.021,3610,4660,6250
25,2700,18×25,3120,4360,0.025,3430,4430,5940
25,3000,12.5×30,3030,4230,0.029,3330,4300,5770
25,3000,16×20,2320,3240,0.034,2550,3300,4420
25,3600,18×30,3460,4840,0.021,3800,4910,6590
25,3900,18×20,2490,3470,0.033,2730,3520,4730
25,4300,16×25,2930,4090,0.025,3210,4150,5570
25,5600,16×30,3280,4580,0.021,3610,4660,6250
25,5600,18×25,3120,4360,0.025,3430,4430,5940
25,6800,18×30,3460,4840,0.021,3800,4910,6590
35,750,12.5×20,2060,2870,0.046,2260,2920,3910
35,1000,12.5×25,2610,3640,0.034,2860,3700,4960
35,1200,12.5×20,2060,2870,0.046,2260,2920,3910
35,1300,12.5×30,3030,4230,0.029,3330,4300,5770
35,1300,16×20,2320,3240,0.034,2550,3300,4420
35,1600,12.5×25,2610,3640,0.034,2860,3700,4960
35,1600,18×20,2490,3470,0.033,2730,3520,4730
35,1800,16×25,2930,4090,0.025,3210,4150,5570
35,2000,16×20,2320,3240,0.034,2550,3300,4420
35,2200,12.5×30,3030,4230,0.029,3330,4300,5770
35,2400,16×30,3280,4580,0.021,3610,4660,6250
35,2400,18×25,3120,4360,0.025,3430,4430,5940
35,2700,18×20,2490,3470,0.033,2730,3520,4730
35,3000,16×25,2930,4090,0.025,3210,4150,5570
35,3000,18×30,3460,4840,0.021,3800,4910,6590
35,3600,16×30,3280,4580,0.021,3610,4660,6250
35,3600,18×25,3120,4360,0.025,3430,4430,5940
35,4700,18×30,3460,4840,0.021,3800,4910,6590
50,510,12.5×20,1530,2280,0.072,1860,2400,3220
50,620,12.5×20,1490,2220,0.076,1800,2330,3130
50,680,12.5×25,1950,2900,0.052,2360,3050,4090
50,910,12.5×25,1890,2820,0.055,2290,2960,3980
50,910,12.5×30,2320,3460,0.042,2810,3630,4880
50,910,16×20,1890,2820,0.049,2290,2960,3980
50,1100,12.5×30,2250,3370,0.044,2730,3530,4740
50,1100,16×20,1860,2780,0.051,2260,2920,3910
50,1100,18×20,2060,3070,0.047,2490,3220,4320
50,1300,16×25,2390,3570,0.036,2900,3750,5030
50,1300,18×20,2040,3050,0.047,2470,3200,4290
50,1600,16×25,2350,3510,0.037,2860,3690,4950
50,1600,16×30,2840,4240,0.029,3440,4450,5970
50,1600,18×25,2600,3880,0.034,3150,4070,5470
50,2000,16×30,2790,4170,0.03,3390,4370,5870
50,2000,18×25,2580,3850,0.034,3130,4040,5420
50,2000,18×30,3080,4600,0.027,3740,4830,6480
50,2400,18×30,3050,4560,0.028,3700,4780,6420
70,240,12.5×20,1340,2000,0.093,1630,2100,2820
70,360,12.5×20,1300,1940,0.099,1580,2040,2740
70,360,12.5×25,1710,2550,0.067,2070,2680,3600
70,430,16×20,1690,2530,0.062,2050,2650,3560
70,470,12.5×30,2040,3040,0.054,2470,3190,4290
70,510,12.5×25,1660,2470,0.072,2010,2600,3490
70,560,18×20,1860,2780,0.057,2260,2920,3920
70,620,12.5×30,1980,2950,0.057,2400,3100,4150
70,620,16×20,1660,2480,0.064,2010,2600,3490
70,620,16×25,2150,3200,0.045,2600,3360,4510
70,750,18×20,1840,2750,0.058,2230,2880,3870
70,820,16×30,2550,3800,0.036,3090,3990,5360
70,820,18×25,2350,3510,0.042,2860,3690,4950
70,910,16×25,2100,3140,0.047,2550,3300,4420
70,1000,18×30,2790,4170,0.033,3390,4380,5870
70,1100,16×30,2500,3730,0.038,3030,3910,5250
70,1100,18×25,2330,3470,0.042,2820,3650,4890
70,1300,18×30,2760,4120,0.034,3350,4330,5810
