Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 105C 100kHz,Impedance 20℃ 100kHz,Impedance -10℃ 100kHz
6.3,220,5×11,345,0.4,1.2
6.3,470,6.3×11,540,0.17,0.51
6.3,820,8×11.5,945,0.075,0.23
6.3,1000,8×16,1250,0.059,0.18
6.3,1200,10×12.5,1330,0.053,0.16
6.3,1500,8×20,1500,0.041,0.13
6.3,1800,10×16,1760,0.038,0.12
6.3,2700,10×20,1960,0.028,0.084
6.3,3300,10×25,2250,0.024,0.072
6.3,3900,12.5×20,2480,0.025,0.075
6.3,4700,12.5×25,2900,0.019,0.057
6.3,5600,12.5×30,3450,0.018,0.054
6.3,6800,12.5×35,3570,0.016,0.048
6.3,6800,16×20,3250,0.021,0.063
6.3,8200,16×25,3630,0.017,0.051
10.0,150,5×11,450,0.4,1.2
10.0,330,6.3×11,700,0.17,0.51
10.0,560,8×11.5,1200,0.075,0.23
10.0,680,8×16,1600,0.059,0.18
10.0,820,10×12.5,1700,0.053,0.16
10.0,1000,8×20,1960,0.041,0.13
10.0,1200,10×16,2000,0.038,0.12
10.0,1800,10×20,2500,0.028,0.084
10.0,2200,10×25,2900,0.024,0.072
10.0,2700,12.5×20,2600,0.025,0.075
10.0,3300,12.5×25,3200,0.019,0.057
10.0,4700,12.5×30,3660,0.018,0.054
10.0,4700,16×20,3330,0.021,0.063
10.0,5600,12.5×35,4120,0.016,0.048
10.0,5600,16×25,3810,0.017,0.051
16.0,120,5×11,450,0.4,1.2
16.0,270,6.3×11,700,0.17,0.51
16.0,470,8×11.5,1200,0.075,0.23
16.0,560,8×16,1600,0.059,0.18
16.0,680,8×16,1600,0.059,0.18
16.0,680,10×12.5,1700,0.053,0.16
16.0,820,8×20,1960,0.041,0.13
16.0,1000,8×20,1960,0.041,0.13
16.0,1000,10×16,2000,0.038,0.12
16.0,1500,10×20,2500,0.028,0.084
16.0,1800,10×25,2900,0.024,0.072
16.0,2200,12.5×20,2600,0.025,0.075
16.0,2700,12.5×25,3200,0.019,0.057
16.0,3300,12.5×30,3660,0.018,0.054
16.0,3300,16×20,3330,0.021,0.063
16.0,3900,12.5×35,4120,0.016,0.048
16.0,4700,16×25,3810,0.017,0.051
25,68,5×11,450,0.4,1.2
25,150,6.3×11,700,0.17,0.51
25,330,8×11.5,1200,0.075,0.23
25,390,8×16,1600,0.059,0.18
25,470,10×12.5,1700,0.053,0.16
25,560,8×20,1960,0.041,0.13
25,680,10×16,2000,0.038,0.12
25,1000,10×20,2500,0.028,0.084
25,1200,10×25,2900,0.024,0.072
25,1500,12.5×20,2600,0.025,0.075
25,1800,12.5×25,3200,0.019,0.057
25,2200,12.5×30,3660,0.018,0.054
25,2200,16×20,3330,0.021,0.063
25,2700,12.5×35,4120,0.016,0.048
25,3300,16×25,3810,0.017,0.051
35,47,5×11,450,0.4,1.2
35,100,6.3×11,700,0.17,0.51
35,180,8×11.5,1200,0.075,0.23
35,220,8×16,1600,0.059,0.18
35,270,8×16,1600,0.059,0.18
35,270,10×12.5,1700,0.053,0.16
35,330,8×20,1960,0.041,0.13
35,330,10×12.5,1700,0.053,0.16
35,390,8×20,1960,0.041,0.13
35,390,10×16,2000,0.038,0.12
35,470,10×16,2000,0.038,0.12
35,560,10×20,2500,0.028,0.084
