Rated Voltage,Capacitance,Size φD×L,Rated Ripple Current 105°C@120Hz
180,120,10×40,0.53
180,150,10×45,0.61
180,180,10×50,0.69
180,220,12.5×40,0.8
180,220,14.5×31.5,0.8
180,270,12.5×45,0.91
180,270,14.5×35,0.9
180,270,16×31.5,0.92
180,330,14.5×45,1.09
180,330,16×35,1.04
180,330,18×31.5,1.03
180,390,16×40,1.17
180,390,18×35,1.14
180,470,16×45,1.31
180,470,18×40,1.29
180,560,18×45,1.44
180,680,18×50,1.59
200,120,10×40,0.54
200,150,10×45,0.62
200,180,12.5×40,0.73
200,220,12.5×45,0.84
200,220,14.5×35,0.83
200,220,16×31.5,0.85
200,270,12.5×50,0.94
200,270,14.5×40,0.96
200,330,14.5×45,1.08
200,330,16×40,1.1
200,330,18×31.5,1.02
200,390,16×45,1.23
200,390,18×35,1.13
200,470,16×50,1.37
200,470,18×40,1.29
200,560,18×45,1.44
250,82,10×40,0.45
250,100,10×45,0.52
250,120,10×50,0.59
250,150,12.5×40,0.65
250,150,14.5×31.5,0.68
250,180,12.5×45,0.77
250,180,14.5×35,0.77
250,180,16×31.5,0.79
250,220,14.5×40,0.88
250,220,16×35,0.89
250,220,18×31.5,0.88
250,270,16×40,1.01
250,270,18×35,0.99
250,330,16×45,1.15
250,330,18×40,1.13
250,390,18×45,1.27
250,470,18×50,1.41
350,56,10×40,0.37
350,68,10×45,0.43
350,100,12.5×40,0.56
350,100,14.5×31.5,0.56
350,120,12.5×50,0.66
350,120,14.5×35,0.63
350,120,16×31.5,0.65
350,150,14.5×45,0.76
350,150,16×35,0.74
350,150,18×31.5,0.74
350,180,16×40,0.84
350,180,18×35,0.83
350,220,16×50,0.99
350,220,18×40,0.93
350,270,18×45,1.03
400,15,8×25,0.16
400,18,8×30,0.19
400,22,8×35,0.22
400,27,8×40,0.25
400,33,8×45,0.29
400,39,10×40,0.37
400,47,10×45,0.42
400,56,10×50,0.47
400,68,12.5×40,0.54
400,82,12.5×45,0.61
400,82,14.5×31.5,0.57
400,100,12.5×50,0.68
400,100,14.5×40,0.69
400,100,16×31.5,0.71
400,120,14.5×45,0.79
400,120,16×35,0.8
400,150,16×40,0.92
400,150,18×31.5,0.89
400,150,18×40,1.05
400,180,16×50,1.08
400,180,18×40,1.06
400,220,18×45,1.2
420,12,8×25,0.1
420,15,8×30,0.12
420,18,8×35,0.16
420,22,8×40,0.19
420,39,10×40,0.36
420,47,10×50,0.43
420,56,12.5×40,0.48
420,68,12.5×40,0.52
420,68,14.5×31.5,0.52
420,82,12.5×45,0.59
420,82,14.5×35,0.59
420,100,14.5×40,0.67
420,100,16×31.5,0.69
420,120,14.5×45,0.75
420,120,16×35,0.78
420,120,18×31.5,0.8
420,150,16×45,0.94
420,150,18×35,0.92
420,180,16×50,1.05
420,180,18×40,1.04
420,220,18×50,1.22
450,10,8×25,0.12
450,12,8×30,0.14
450,15,8×35,0.16
450,18,8×40,0.18
450,22,8×50,0.22
450,33,10×40,0.34
450,39,10×45,0.38
450,47,12.5×40,0.44
450,56,12.5×40,0.49
450,68,12.5×45,0.55
450,68,14.5×31.5,0.52
450,82,12.5×50,0.62
450,82,14.5×40,0.63
450,82,16×31.5,0.64
450,100,14.5×45,0.71
450,100,16×35,0.73
450,120,14.5×50,0.79
450,120,16×40,0.82
450,120,18×31.5,0.8
450,120,18×40,0.85
450,150,16×50,0.98
450,150,18×40,0.97
450,180,18×45,1.09
450,220,18×50,1.22
