Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current (mA r.m.s./105℃ 100kHz)
160,39.0,10×16,630
160,47.0,10×20,800
160,56.0,10×20,860
160,68.0,12.5×20,1200
160,82.0,12.5×20,1280
160,100.0,12.5×25,1450
160,120.0,12.5×25,1500
160,150.0,16×20,1650
160,180.0,16×25,2000
160,180.0,18×20,1700
160,220.0,16×25,2100
160,270.0,18×25,2370
200,33.0,10×16,630
200,39.0,10×20,800
200,47.0,10×20,860
200,56.0,12.5×20,1100
200,68.0,12.5×20,1200
200,82.0,12.5×25,1450
200,100.0,12.5×25,1480
200,120.0,16×20,1600
200,150.0,16×25,1900
200,150.0,18×20,1700
200,220.0,18×25,2370
250,22.0,10×16,500
250,33.0,10×20,630
250,39.0,10×20,800
250,47.0,12.5×20,1000
250,56.0,12.5×20,1100
250,68.0,12.5×25,1350
250,82.0,16×20,1480
250,100.0,16×25,1600
250,120.0,16×25,1700
250,120.0,18×20,1600
250,150.0,18×25,2000
350,15.0,10×16,450
350,22.0,10×20,550
350,33.0,12.5×20,750
350,39.0,12.5×25,900
350,47.0,12.5×25,980
350,56.0,16×20,1100
350,68.0,16×25,1300
350,68.0,18×20,1280
350,82.0,18×25,1550
350,100.0,18×25,1600
400,10.0,10×16,380
400,12.0,10×16,450
400,15.0,10×20,500
400,18.0,10×20,550
400,22.0,12.5×20,650
400,27.0,12.5×20,700
400,33.0,12.5×25,850
400,39.0,12.5×25,900
400,47.0,16×20,1000
400,56.0,16×25,1220
400,56.0,18×20,1200
400,82.0,18×25,1600
450,8.2,10×16,330
450,10.0,10×16,380
450,12.0,10×20,470
450,15.0,10×20,500
450,18.0,12.5×20,560
450,22.0,12.5×20,600
450,27.0,12.5×25,750
450,33.0,16×20,860
450,39.0,16×25,1000
450,39.0,18×20,960
450,47.0,16×25,1100
450,47.0,18×20,1000
450,56.0,18×25,1250
450,68.0,18×25,1350
