Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 105C 120Hz
400,18,12.5×20,0.19
400,22,12.5×20,0.21
400,27,12.5×25,0.25
400,27,16×20,0.25
400,33,12.5×25,0.27
400,33,16×20,0.27
400,39,12.5×30,0.32
400,39,16×20,0.29
400,47,16×25,0.35
400,47,18×20,0.34
400,56,16×25,0.38
400,56,18×20,0.37
400,68,16×30,0.45
400,68,18×25,0.44
400,82,18×30,0.52
400,100,18×31.5,0.58
