Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 120Hz,Rated Ripple Current 100kHz
160,47,10×16,0.26,0.65
160,68,10×20,0.32,0.8
160,82,16×16,0.54,1.35
160,100,10×25,0.53,1.193
160,100,12.5×20,0.6,1.35
160,100,18×16,0.69,1.553
160,120,10×30,0.62,1.395
160,150,10×35,0.7,1.575
160,150,12.5×25,0.73,1.643
160,150,14.5×20,0.8,1.8
160,180,10×40,0.8,1.8
160,180,12.5×30,0.87,1.958
160,180,16×20,0.8,1.8
160,220,10×50,1.0,2.25
160,220,12.5×35,1.0,2.25
160,220,14.5×25,0.89,2.003
160,220,18×20,0.99,2.228
160,270,12.5×40,1.12,2.24
160,270,14.5×30,1.1,2.2
160,270,16×25,1.0,2.0
160,330,12.5×45,1.24,2.48
160,330,14.5×35,1.22,2.44
160,330,16×30,1.2,2.4
160,330,18×25,1.18,2.36
160,390,14.5×40,1.38,2.76
160,390,16×35,1.38,2.76
160,470,14.5×45,1.52,3.04
160,470,16×40,1.55,3.1
160,470,18×30,1.55,3.1
160,560,16×45,1.76,3.52
160,560,18×35,1.74,3.48
160,680,18×40,2.0,4.0
160,820,18×50,2.23,4.46
200,33,10×16,0.26,0.65
200,47,10×20,0.32,0.8
200,56,16×16,0.54,1.35
200,68,10×25,0.43,1.075
200,68,12.5×20,0.54,1.35
200,82,10×30,0.5,1.25
200,82,18×16,0.62,1.55
200,100,10×35,0.64,1.44
200,100,14.5×20,0.58,1.305
200,120,10×40,0.74,1.665
200,120,12.5×25,0.65,1.463
200,120,16×20,0.8,1.8
200,150,10×45,0.78,1.755
200,150,12.5×30,0.8,1.8
200,150,14.5×25,0.79,1.778
200,180,12.5×35,0.92,2.07
200,180,14.5×30,0.95,2.138
200,180,16×25,0.9,2.025
200,180,18×20,1.0,2.25
200,220,12.5×40,1.05,2.363
200,220,14.5×35,1.09,2.453
200,220,16×30,1.08,2.43
200,270,12.5×50,1.26,2.52
200,270,14.5×40,1.26,2.52
200,270,16×30,1.18,2.36
200,270,18×25,1.1,2.2
200,330,14.5×45,1.37,2.74
200,330,16×40,1.43,2.86
200,330,18×30,1.3,2.6
200,390,14.5×50,1.48,2.96
200,390,16×45,1.55,3.1
200,390,18×35,1.43,2.86
200,470,16×50,1.68,3.36
200,470,18×40,1.62,3.24
200,560,18×45,1.77,3.54
220,33,10×16,0.24,0.6
220,47,10×20,0.3,0.75
220,56,10×25,0.4,1.0
220,68,12.5×20,0.48,1.2
220,82,10×30,0.5,1.25
220,100,10×35,0.64,1.44
220,100,12.5×25,0.62,1.395
220,100,14.5×20,0.6,1.35
220,120,10×45,0.75,1.688
220,120,12.5×30,0.74,1.665
220,120,14.5×25,0.75,1.688
220,120,16×20,0.68,1.53
220,150,12.5×35,0.88,1.98
220,150,18×20,0.83,1.868
220,180,12.5×40,1.02,2.295
220,180,14.5×30,0.91,2.048
220,180,16×25,0.9,2.025
220,220,12.5×45,1.05,2.363
220,220,14.5×35,1.04,2.34
220,220,16×30,1.03,2.318
220,220,18×25,0.99,2.228
220,270,14.5×45,1.3,2.6
220,270,16×35,1.19,2.38
220,270,18×30,1.17,2.34
220,330,14.5×50,1.41,2.82
220,330,16×40,1.36,2.72
220,330,18×35,1.35,2.7
220,390,16×45,1.48,2.96
220,390,18×40,1.55,3.1
220,470,18×45,1.69,3.38
220,560,18×50,1.8,3.6
250,27,10×16,0.26,0.65
250,39,10×20,0.32,0.8
250,47,10×25,0.39,0.975
250,47,16×16,0.54,1.35
250,56,12.5×20,0.54,1.35
250,56,18×16,0.62,1.55
250,68,10×30,0.5,1.25
250,82,10×35,0.57,1.425
250,82,12.5×25,0.57,1.425
250,82,14.5×20,0.5,1.25
250,100,10×45,0.72,1.62
250,100,12.5×30,0.69,1.553
250,100,16×20,0.8,1.8
250,120,10×50,0.78,1.755
250,120,12.5×35,0.79,1.778
250,120,14.5×25,0.75,1.688
250,120,18×20,1.0,2.25
250,150,12.5×40,0.92,2.07
250,150,14.5×30,0.83,1.868
250,150,16×25,0.84,1.89
250,180,12.5×45,0.97,2.183
250,180,14.5×35,0.96,2.16
250,180,16×30,0.95,2.138
250,180,18×25,0.92,2.07
250,220,14.5×40,1.11,2.498
250,220,16×35,1.1,2.475
250,220,18×30,1.1,2.475
250,270,14.5×50,1.3,2.6
250,270,16×40,1.27,2.54
250,270,18×35,1.26,2.52
250,330,16×50,1.48,2.96
250,330,18×40,1.45,2.9
250,390,18×45,1.59,3.18
250,470,18×50,1.83,3.66
350,18,10×16,0.16,0.4
350,22,10×20,0.2,0.5
350,27,16×16,0.31,0.775
350,33,10×25,0.33,0.825
350,33,12.5×20,0.34,0.85
350,33,18×16,0.38,0.95
350,39,10×30,0.39,0.975
350,47,10×35,0.45,1.125
350,47,12.5×25,0.45,1.125
350,47,14.5×20,0.42,1.05
350,56,10×40,0.52,1.3
350,56,12.5×30,0.55,1.375
350,56,16×20,0.48,1.2
350,68,10×50,0.6,1.5
350,68,12.5×35,0.61,1.525
350,68,14.5×25,0.56,1.4
350,82,12.5×40,0.71,1.775
350,82,14.5×30,0.67,1.675
350,82,16×25,0.65,1.625
350,82,18×20,0.52,1.3
350,100,12.5×45,0.79,1.778
350,100,14.5×35,0.78,1.755
350,100,16×30,0.77,1.733
350,100,18×25,0.76,1.71
350,120,12.5×50,0.85,1.913
350,120,14.5×40,0.9,2.025
350,120,16×35,0.89,2.003
350,150,14.5×45,0.97,2.183
350,150,16×40,1.0,2.25
350,150,18×30,0.9,2.025
350,180,16×45,1.12,2.52
350,180,18×35,1.04,2.34
350,220,18×40,1.2,2.7
350,270,18×50,1.4,2.8
400,12,10×16,0.16,0.4
400,18,10×20,0.22,0.55
400,18,16×16,0.23,0.575
400,22,10×25,0.24,0.6
400,27,10×25,0.29,0.725
400,27,12.5×20,0.3,0.75
400,27,12.5×25,0.34,0.85
400,33,10×35,0.34,0.85
400,33,12.5×25,0.35,0.875
400,33,12.5×30,0.4,1.0
400,33,14.5×20,0.35,0.875
400,39,10×40,0.39,0.975
400,39,14.5×25,0.435,1.088
400,39,16×20,0.4,1.0
400,47,10×45,0.44,1.1
400,47,12.5×30,0.44,1.1
400,47,12.5×35,0.505,1.263
400,47,14.5×25,0.45,1.125
400,47,16×25,0.44,1.1
400,56,12.5×35,0.51,1.275
400,56,12.5×40,0.57,1.425
400,56,14.5×30,0.56,1.4
400,56,16×25,0.51,1.275
400,56,18×20,0.48,1.2
400,68,12.5×45,0.6,1.5
400,68,12.5×50,0.67,1.675
400,68,14.5×35,0.64,1.6
400,68,16×30,0.56,1.4
400,68,18×25,0.615,1.538
400,82,12.5×50,0.69,1.725
400,82,14.5×40,0.68,1.7
400,82,14.5×45,0.75,1.875
400,82,16×30,0.64,1.6
400,82,16×35,0.69,1.725
400,82,18×25,0.64,1.6
400,82,18×30,0.73,1.825
400,100,14.5×45,0.79,1.778
400,100,14.5×50,0.845,1.901
400,100,16×35,0.73,1.643
400,100,16×40,0.8,1.8
400,100,18×30,0.78,1.755
400,100,18×35,0.835,1.879
400,120,16×40,0.84,1.89
400,120,16×45,0.92,2.07
400,120,18×35,0.85,1.913
400,120,18×40,0.93,2.093
400,150,16×50,0.94,2.115
400,150,18×40,1.0,2.25
400,150,18×45,1.06,2.385
400,180,18×45,1.1,2.475
420,15,10×20,0.19,0.475
420,18,10×25,0.23,0.575
420,22,10×25,0.25,0.625
420,27,10×30,0.29,0.725
420,27,12.5×20,0.3,0.75
420,27,12.5×25,0.34,0.85
420,33,10×35,0.34,0.85
420,33,12.5×25,0.35,0.875
420,33,12.5×30,0.4,1.0
420,33,14.5×20,0.35,0.875
420,39,10×40,0.39,0.975
420,39,14.5×25,0.435,1.088
420,39,16×20,0.4,1.0
420,47,10×45,0.44,1.1
420,47,12.5×30,0.44,1.1
420,47,12.5×35,0.505,1.263
420,47,14.5×25,0.45,1.125
420,47,16×25,0.44,1.1
420,56,12.5×35,0.51,1.275
420,56,12.5×40,0.57,1.425
420,56,14.5×30,0.56,1.4
420,56,16×25,0.51,1.275
420,56,18×20,0.48,1.2
420,68,12.5×45,0.6,1.5
420,68,12.5×50,0.67,1.675
420,68,14.5×35,0.64,1.6
420,68,16×30,0.56,1.4
