Rated Voltage (Vdc),Capacitance (μF),Size φD×L(mm),Rated ripple current I0 (mA r.m.s./125℃@100kHz),MAX ripple current IMAX (mA r.m.s./125℃@100kHz).1,MAX ripple current IMAX (mA r.m.s./105℃@100kHz).2
250,27,12.5×20,1780,1780,2380
250,39,12.5×25,2280,2280,3050
250,47,10×40,2440,2440,3260
250,47,16×20,2280,2280,3050
250,51,12.5×30,2770,2770,3710
275,27,12.5×20,1790,1790,2390
275,39,12.5×25,2290,2290,3060
275,47,10×40,2450,2450,3280
275,47,16×20,2270,2270,3040
275,51,12.5×30,2780,2780,3720
290,22,12.5×20,1740,1740,2330
290,33,12.5×25,2240,2240,3000
290,39,10×40,2390,2390,3200
290,39,16×20,2240,2240,3000
290,43,12.5×30,2710,2710,3630
