Capacitance (µF),120Hz,1kHz,10kHz,≥100kHz
56 to 270,0.5,0.73,0.92,1.0
330 to 680,0.55,0.77,0.94,1.0
820 to 1800,0.6,0.8,0.96,1.0
2200 to 12000,0.7,0.85,0.98,1.0
