Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current 105C 100kHz,Impedance 20℃ 100kHz,Impedance -10℃ 100kHz
6.3,100.0,5×11,150,0.9,3.6
6.3,220.0,5×11,250,0.4,1.2
6.3,330.0,6.3×11,340,0.22,0.87
6.3,470.0,6.3×11,400,0.22,0.87
6.3,1000.0,8×11.5,640,0.13,0.52
6.3,2200.0,10×16,1300,0.062,0.25
6.3,3300.0,10×20,1400,0.046,0.18
6.3,4700.0,12.5×25,2230,0.032,0.11
6.3,6800.0,12.5×25,2230,0.032,0.11
6.3,10000.0,16×25,2930,0.021,0.06
6.3,15000.0,16×35.5,3610,0.015,0.044
10.0,100.0,5×11,150,0.9,3.6
10.0,220.0,5×11,250,0.4,1.2
10.0,330.0,6.3×11,400,0.22,0.87
10.0,470.0,6.3×11,400,0.22,0.87
10.0,1000.0,10×12.5,865,0.08,0.32
10.0,2200.0,10×20,1400,0.046,0.18
10.0,3300.0,12.5×20,1900,0.041,0.14
10.0,4700.0,12.5×25,2230,0.032,0.11
10.0,6800.0,16×25,2930,0.021,0.06
10.0,10000.0,16×31.5,3450,0.019,0.056
16.0,47.0,5×11,250,0.4,1.2
16.0,100.0,5×11,250,0.4,1.2
16.0,220.0,6.3×11,400,0.22,0.87
16.0,330.0,6.3×11,400,0.22,0.87
16.0,470.0,8×11.5,640,0.13,0.52
16.0,1000.0,10×16,1210,0.062,0.25
16.0,2200.0,12.5×20,1900,0.041,0.14
16.0,3300.0,12.5×25,2230,0.032,0.11
16.0,4700.0,16×25,2930,0.021,0.06
16.0,6800.0,16×31.5,3450,0.019,0.056
25.0,33.0,5×11,250,0.4,1.2
25.0,47.0,5×11,250,0.4,1.2
25.0,100.0,5×11,250,0.4,1.2
25.0,220.0,6.3×11,400,0.22,0.87
25.0,330.0,8×11.5,640,0.13,0.52
25.0,470.0,10×12.5,865,0.08,0.32
25.0,1000.0,10×20,1400,0.046,0.18
25.0,2200.0,12.5×25,2230,0.032,0.11
25.0,3300.0,16×25,2930,0.021,0.06
25.0,4700.0,16×31.5,3450,0.019,0.056
35.0,33.0,5×11,250,0.4,1.2
35.0,47.0,5×11,250,0.4,1.2
35.0,100.0,6.3×11,400,0.22,0.87
35.0,220.0,8×11.5,640,0.13,0.52
35.0,330.0,10×12.5,865,0.08,0.32
35.0,470.0,10×16,1210,0.062,0.25
35.0,1000.0,12.5×20,1900,0.041,0.14
35.0,2200.0,16×25,2930,0.021,0.06
35.0,3300.0,16×31.5,3450,0.019,0.056
50.0,1.0,5×11,30,4.0,8.0
50.0,2.2,5×11,43,2.5,6.0
50.0,3.3,5×11,53,2.2,5.6
50.0,4.7,5×11,88,1.9,5.0
50.0,10.0,5×11,100,1.5,4.0
50.0,22.0,5×11,180,0.7,2.8
50.0,33.0,5×11,250,0.7,2.8
50.0,47.0,6.3×11,295,0.3,1.2
50.0,100.0,8×11.5,555,0.17,0.68
50.0,220.0,10×16,1050,0.084,0.34
50.0,330.0,10×20,1220,0.06,0.24
50.0,470.0,12.5×20,1660,0.045,0.15
50.0,1000.0,16×25,2730,0.032,0.096
50.0,2200.0,16×35.5,3150,0.019,0.057
63.0,10.0,5×11,173,0.88,3.5
63.0,22.0,5×11,173,0.88,3.5
63.0,33.0,6.3×11,278,0.35,1.4
63.0,47.0,6.3×11,278,0.35,1.4
63.0,100.0,10×12.5,725,0.15,0.6
63.0,220.0,10×20,1200,0.078,0.31
63.0,330.0,12.5×20,1570,0.06,0.19
63.0,470.0,12.5×25,1990,0.043,0.14
63.0,1000.0,16×25,2730,0.032,0.096
100.0,1.0,5×11,20,4.5,15.0
100.0,2.2,5×11,30,3.0,13.0
100.0,3.3,5×11,40,2.7,11.0
100.0,4.7,5×11,65,2.5,10.0
100.0,10.0,6.3×11,267,0.57,2.3
100.0,22.0,6.3×11,267,0.57,2.3
100.0,33.0,8×11.5,462,0.36,1.4
100.0,47.0,8×16,585,0.25,1.0
100.0,100.0,10×20,1040,0.12,0.52
100.0,220.0,12.5×25,1620,0.06,0.23
100.0,330.0,16×25,2210,0.044,0.16
