Rated Voltage (Vdc),Capacitance (μF),Size φD×L (mm),Rated Ripple Current (mA r.m.s./125℃@100kHz),ESR (20℃)@100kHz,ESR (-40℃)@100kHz 
25,1300,12.5×20,1510,0.068,0.71
25,1600,12.5×20,1470,0.072,0.77
25,1800,12.5×25,1900,0.05,0.52
25,2000,16×20,1820,0.049,0.43
25,2200,12.5×25,1850,0.053,0.57
25,2200,12.5×30,2190,0.043,0.45
25,2700,12.5×30,2130,0.046,0.49
25,2700,16×20,1800,0.051,0.46
25,2700,16×25,2250,0.038,0.33
25,2700,18×20,1990,0.046,0.34
25,3300,18×20,1970,0.047,0.37
25,3600,16×25,2220,0.039,0.35
25,3600,16×31.5,2720,0.029,0.25
25,3900,18×25,2510,0.033,0.25
25,4700,16×31.5,2670,0.03,0.27
25,4700,18×25,2490,0.034,0.26
25,4700,18×31.5,2940,0.028,0.2
25,5600,18×31.5,2910,0.028,0.22
35,910,12.5×20,1510,0.068,0.71
35,1100,12.5×20,1470,0.072,0.77
35,1200,12.5×25,1900,0.05,0.52
35,1500,12.5×25,1850,0.053,0.57
35,1500,12.5×30,2190,0.043,0.45
35,1500,16×20,1820,0.049,0.43
35,1800,12.5×30,2130,0.046,0.49
35,1800,16×20,1800,0.051,0.46
35,1800,18×20,1990,0.046,0.34
35,2000,16×25,2250,0.038,0.33
35,2200,18×20,1970,0.047,0.37
35,2400,16×25,2220,0.039,0.35
35,2400,16×31.5,2720,0.029,0.25
35,2700,18×25,2510,0.033,0.25
35,3000,16×31.5,2670,0.03,0.27
35,3300,18×25,2490,0.034,0.26
35,3300,18×31.5,2940,0.028,0.2
35,3900,18×31.5,2910,0.028,0.22
50,510,12.5×20,1510,0.068,0.72
50,620,12.5×20,1470,0.072,0.78
50,680,12.5×25,1900,0.05,0.53
50,820,12.5×25,1850,0.053,0.57
50,820,12.5×30,2190,0.043,0.45
50,820,16×20,1820,0.049,0.43
50,1000,12.5×30,2130,0.046,0.49
50,1000,16×20,1800,0.051,0.46
50,1000,18×20,1990,0.046,0.35
50,1100,16×25,2250,0.038,0.33
50,1300,16×25,2220,0.039,0.35
50,1300,18×20,1970,0.047,0.37
50,1500,16×31.5,2720,0.029,0.25
50,1500,18×25,2510,0.033,0.25
50,1800,16×31.5,2670,0.03,0.27
50,1800,18×25,2490,0.034,0.27
50,1800,18×31.5,2940,0.028,0.2
50,2200,18×31.5,2910,0.028,0.22
70,240,12.5×20,1270,0.096,0.72
70,360,12.5×20,1230,0.1,0.78
70,360,12.5×25,1600,0.07,0.53
70,430,12.5×30,1850,0.061,0.46
70,430,16×20,1560,0.067,0.44
70,510,12.5×25,1550,0.075,0.57
70,510,18×20,1730,0.061,0.36
70,560,12.5×30,1790,0.065,0.49
70,560,16×20,1530,0.07,0.47
70,560,16×25,1930,0.051,0.33
70,750,16×25,1890,0.053,0.36
70,750,16×31.5,2330,0.04,0.26
70,750,18×20,1710,0.063,0.38
70,750,18×25,2190,0.044,0.25
70,1000,16×31.5,2280,0.042,0.27
70,1000,18×25,2160,0.045,0.27
70,1000,18×31.5,2560,0.036,0.21
70,1300,18×31.5,2530,0.037,0.22
