Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
RNS0G561MDN1,MP,4.0,560.00,8.0,11.5,-55,105,2000,0.93,0.08,336,5230,,10,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
RNS0G821MDN1,MP,4.0,820.00,10.0,12.5,-55,105,2000,1.35,0.08,492,5500,,10,,,,,,1600,Radial Lead,Standard,Uni-Polar,Normal
RNS0G122MDN1,MP,4.0,1200.00,10.0,12.5,-55,105,2000,1.35,0.15,720,5500,,10,,,,,,1600,Radial Lead,Standard,Uni-Polar,Normal
RNS0J470MDS1,MP,6.3,47.00,6.3,7.0,-55,105,2000,0.39,0.07,50,2050,,42,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
RNS0J151MDN1,MP,6.3,150.00,8.0,11.5,-55,105,2000,0.93,0.07,141,3900,,21,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
RNS0J221MDN1,MP,6.3,220.00,8.0,11.5,-55,105,2000,0.93,0.07,207,3900,,21,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
RNS0J331MDN1,MP,6.3,330.00,10.0,12.5,-55,105,2000,1.35,0.07,311,5500,,10,,,,,,1600,Radial Lead,Standard,Uni-Polar,Normal
RNS0J391MDN1,MP,6.3,390.00,8.0,11.5,-55,105,2000,0.93,0.08,368,5230,,10,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
RNS0J681MDN1,MP,6.3,680.00,10.0,12.5,-55,105,2000,1.35,0.08,642,5500,,10,,,,,,1600,Radial Lead,Standard,Uni-Polar,Normal
RNS0J821MDN1,MP,6.3,820.00,10.0,12.5,-55,105,2000,1.35,0.12,774,5500,,10,,,,,,1600,Radial Lead,Standard,Uni-Polar,Normal
RNS0J102MDN1,MP,6.3,1000.00,10.0,12.5,-55,105,2000,1.35,0.12,945,5500,,10,,,,,,1600,Radial Lead,Standard,Uni-Polar,Normal
RNS1A330MDS1,MP,10.0,33.00,6.3,7.0,-55,105,2000,0.39,0.07,50,1900,,49,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
RNS1A680MDS1,MP,10.0,68.00,6.3,10.0,-55,105,2000,0.54,0.07,102,2650,,35,,,,,,3200,Radial Lead,Standard,Uni-Polar,Normal
RNS1A101MDN1,MP,10.0,100.00,8.0,11.5,-55,105,2000,0.93,0.07,150,3900,,21,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
RNS1A221MDN1,MP,10.0,220.00,10.0,12.5,-55,105,2000,1.35,0.07,330,5500,,10,,,,,,1600,Radial Lead,Standard,Uni-Polar,Normal
RNS1A471MDN1,MP,10.0,470.00,10.0,12.5,-55,105,2000,1.35,0.08,705,5500,,10,,,,,,1600,Radial Lead,Standard,Uni-Polar,Normal
RNS1C220MDS1,MP,16.0,22.00,6.3,7.0,-55,105,2000,0.39,0.06,52,1900,,49,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
RNS1C330MDS1,MP,16.0,33.00,6.3,7.0,-55,105,2000,0.39,0.06,79,1900,,49,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
RNS1C470MDS1,MP,16.0,47.00,6.3,10.0,-55,105,2000,0.54,0.06,112,2400,,42,,,,,,3200,Radial Lead,Standard,Uni-Polar,Normal
