Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (85℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVK0J102MPD,MP,6.3,1000.00,8.0,11.5,-40,85,2000,1.19,0.28,189,540,,,,,,,,3000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK0J222MPD,MP,6.3,2200.00,10.0,16.0,-40,85,2000,1.77,0.30,416,890,,,,,,,,1800,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK0J332MPD,MP,6.3,3300.00,10.0,20.0,-40,85,2000,2.34,0.32,624,1190,,,,,,,,1400,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK0J472MHD,MP,6.3,4700.00,12.5,20.0,-40,85,2000,3.43,0.34,888,1550,,,,,,,,1000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK0J682MHD,MP,6.3,6800.00,12.5,25.0,-40,85,2000,4.56,0.38,1285,1920,,,,,,,,800,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK0J103MHD,MP,6.3,10000.00,16.0,25.0,-40,85,2000,8.20,0.46,1890,2350,,,,,,,,400,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK0J153MHD,MP,6.3,15000.00,16.0,30.5,-40,85,2000,9.60,0.56,2835,2550,,,,,,,,300,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK0J223MHD,MP,6.3,22000.00,18.0,35.5,-40,85,2000,14.20,0.70,4158,3200,,,,,,,,250,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK0J333MRD,EOL,6.3,33000.00,20.0,40.0,-40,85,2000,19.60,0.92,6237,3500,,,,,,,,150,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A221MDD,EOL,10.0,220.00,5.0,11.0,-40,85,2000,0.44,0.24,66,220,,,,,,,,6000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A331MED,EOL,10.0,330.00,6.3,11.0,-40,85,2000,0.59,0.24,99,290,,,,,,,,4000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A471MED,EOL,10.0,470.00,6.3,11.0,-40,85,2000,0.59,0.24,141,350,,,,,,,,4000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A102MPD,MP,10.0,1000.00,10.0,12.5,-40,85,2000,1.49,0.24,300,650,,,,,,,,2000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A222MPD,MP,10.0,2200.00,10.0,16.0,-40,85,2000,1.77,0.26,660,990,,,,,,,,1800,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A332MHD,MP,10.0,3300.00,12.5,20.0,-40,85,2000,3.43,0.28,990,1450,,,,,,,,1000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A472MHD,MP,10.0,4700.00,12.5,25.0,-40,85,2000,4.56,0.30,1410,1800,,,,,,,,800,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A682MHD,MP,10.0,6800.00,16.0,25.0,-40,85,2000,8.20,0.34,2040,2250,,,,,,,,400,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A103MHD,MP,10.0,10000.00,16.0,30.5,-40,85,2000,9.60,0.42,3000,2550,,,,,,,,300,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A153MHD,MP,10.0,15000.00,16.0,35.5,-40,85,2000,11.80,0.52,4500,2880,,,,,,,,300,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A223MHD,MP,10.0,22000.00,18.0,40.0,-40,85,2000,17.70,0.66,6600,3400,,,,,,,,200,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1A333MRD,EOL,10.0,33000.00,22.0,50.0,-40,85,2000,27.40,0.88,9900,4500,,,,,,,,250,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C221MED,EOL,16.0,220.00,6.3,11.0,-40,85,2000,0.59,0.20,106,260,,,,,,,,4000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C331MED,EOL,16.0,330.00,6.3,11.0,-40,85,2000,0.59,0.20,158,320,,,,,,,,4000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C471MPD,MP,16.0,470.00,8.0,11.5,-40,85,2000,1.19,0.20,226,440,,,,,,,,3000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C102MPD,MP,16.0,1000.00,10.0,12.5,-40,85,2000,1.49,0.20,480,700,,,,,,,,2000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C222MPD,MP,16.0,2200.00,10.0,20.0,-40,85,2000,2.34,0.22,1056,1000,,,,,,,,1400,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C332MHD,MP,16.0,3300.00,12.5,25.0,-40,85,2000,4.56,0.24,1584,1700,,,,,,,,800,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C472MHD,MP,16.0,4700.00,16.0,25.0,-40,85,2000,8.20,0.26,2256,2100,,,,,,,,400,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C682MHD,MP,16.0,6800.00,16.0,25.0,-40,85,2000,8.20,0.30,3264,2250,,,,,,,,400,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C103MHD,MP,16.0,10000.00,16.0,35.5,-40,85,2000,11.80,0.38,4800,2710,,,,,,,,300,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C153MHD,MP,16.0,15000.00,18.0,40.0,-40,85,2000,17.70,0.48,7200,3100,,,,,,,,200,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C223MRD,EOL,16.0,22000.00,22.0,40.0,-40,85,2000,23.80,0.62,10560,3800,,,,,,,,250,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1C333MRD,EOL,16.0,33000.00,25.0,50.0,-40,85,2000,38.80,0.84,15840,4800,,,,,,,,140,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1E101MDD,EOL,25.0,100.00,5.0,11.0,-40,85,2000,0.44,0.16,75,180,,,,,,,,6000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1E221MED,EOL,25.0,220.00,6.3,11.0,-40,85,2000,0.59,0.16,165,280,,,,,,,,4000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1E331MPD,MP,25.0,330.00,8.0,11.5,-40,85,2000,1.19,0.16,248,390,,,,,,,,3000,Radial Lead,Miniaturized,Uni-Polar,Normal
UVK1E471MPD,MP,25.0,470.00,10.0,12.5,-40,85,2000,1.49,0.16,353,550,,,,,,,,2000,Radial Lead,Miniaturized,Uni-Polar,Normal
