Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (85℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UFG0J471MPM,EOL,6.3,470.00,10.0,12.5,-40,85,1000,1.49,0.22,30,270,,,,,,,,2000,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG0J102MPM,EOL,6.3,1000.00,10.0,20.0,-40,85,1000,2.34,0.22,63,485,,,,,,,,1400,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG0J222MHM,EOL,6.3,2200.00,12.5,25.0,-40,85,1000,4.56,0.24,139,867,,,,,,,,800,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG0J332MHM,EOL,6.3,3300.00,16.0,25.0,-40,85,1000,8.20,0.26,208,1135,,,,,,,,400,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG0J472MHM,EOL,6.3,4700.00,16.0,30.5,-40,85,1000,9.60,0.28,296,1431,,,,,,,,300,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG0J682MHM,EOL,6.3,6800.00,18.0,35.5,-40,85,1000,14.20,0.32,428,1810,,,,,,,,250,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG0J103MHM,EOL,6.3,10000.00,18.0,40.0,-40,85,1000,17.70,0.40,630,2100,,,,,,,,200,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A470MDM,EOL,10.0,47.00,5.0,11.0,-40,85,1000,0.44,0.19,5,60,,,,,,,,6000,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A101MEM,EOL,10.0,100.00,6.3,11.0,-40,85,1000,0.59,0.19,10,99,,,,,,,,4000,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A221MPM,EOL,10.0,220.00,8.0,11.5,-40,85,1000,1.19,0.19,22,170,,,,,,,,3000,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A331MPM,EOL,10.0,330.00,10.0,12.5,-40,85,1000,1.49,0.19,33,247,,,,,,,,2000,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A471MPM,EOL,10.0,470.00,10.0,16.0,-40,85,1000,1.77,0.19,47,330,,,,,,,,1800,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A102MHM,EOL,10.0,1000.00,12.5,20.0,-40,85,1000,3.43,0.19,100,601,,,,,,,,1000,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A222MHM,EOL,10.0,2200.00,16.0,25.0,-40,85,1000,8.20,0.21,220,1047,,,,,,,,400,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A332MHM,EOL,10.0,3300.00,16.0,30.5,-40,85,1000,9.60,0.23,330,1520,,,,,,,,300,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
UFG1A472MHM,EOL,10.0,4700.00,16.0,35.5,-40,85,1000,11.80,0.25,470,1840,,,,,,,,300,Radial Lead,Hi-Grade For Audio,Uni-Polar,Normal
