Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVZ1A223MRD,EOL,10.0,22000.00,20.0,40.0,-55,105,2000,19.60,0.66,6600,2650,,,,,,,,150,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1A333MRD,EOL,10.0,33000.00,22.0,50.0,-55,105,2000,27.40,0.88,9900,3250,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C100MDD,EOL,16.0,10.00,5.0,11.0,-55,105,1000,0.44,0.20,5,35,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C220MDD,EOL,16.0,22.00,5.0,11.0,-55,105,1000,0.44,0.20,11,54,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C330MDD,EOL,16.0,33.00,5.0,11.0,-55,105,1000,0.44,0.20,16,65,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C470MDD,EOL,16.0,47.00,5.0,11.0,-55,105,1000,0.44,0.20,23,79,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C101MDD,EOL,16.0,100.00,5.0,11.0,-55,105,1000,0.44,0.20,48,115,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C221MED,EOL,16.0,220.00,6.3,11.0,-55,105,1000,0.59,0.20,106,190,,,,,,,,4000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C331MPD,MP,16.0,330.00,8.0,11.5,-55,105,1000,1.19,0.20,158,265,,,,,,,,3000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C471MPD,MP,16.0,470.00,8.0,11.5,-55,105,1000,1.19,0.20,226,315,,,,,,,,3000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C102MPD,MP,16.0,1000.00,10.0,16.0,-55,105,2000,1.77,0.20,480,560,,,,,,,,1800,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C222MHD,MP,16.0,2200.00,12.5,20.0,-55,105,2000,3.43,0.22,1056,920,,,,,,,,1000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C332MHD,MP,16.0,3300.00,12.5,25.0,-55,105,2000,4.56,0.24,1584,1170,,,,,,,,800,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C472MHD,MP,16.0,4700.00,16.0,25.0,-55,105,2000,8.20,0.26,2256,1480,,,,,,,,400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C682MHD,MP,16.0,6800.00,16.0,35.5,-55,105,2000,11.80,0.30,3264,1780,,,,,,,,300,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C103MHD,MP,16.0,10000.00,18.0,35.5,-55,105,2000,14.20,0.38,4800,2060,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C153MRD,EOL,16.0,15000.00,20.0,40.0,-55,105,2000,19.60,0.48,7200,2430,,,,,,,,150,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C223MRD,EOL,16.0,22000.00,22.0,50.0,-55,105,2000,27.40,0.62,10560,3000,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1C333MRD,EOL,16.0,33000.00,25.0,50.0,-55,105,2000,38.80,0.84,15840,3450,,,,,,,,140,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E4R7MDD,EOL,25.0,4.70,5.0,11.0,-55,105,1000,0.44,0.16,4,25,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E100MDD,EOL,25.0,10.00,5.0,11.0,-55,105,1000,0.44,0.16,8,36,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E220MDD,EOL,25.0,22.00,5.0,11.0,-55,105,1000,0.44,0.16,17,58,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E330MDD,EOL,25.0,33.00,5.0,11.0,-55,105,1000,0.44,0.16,25,68,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E470MDD,EOL,25.0,47.00,5.0,11.0,-55,105,1000,0.44,0.16,35,83,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E101MED,EOL,25.0,100.00,6.3,11.0,-55,105,1000,0.59,0.16,75,140,,,,,,,,4000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E221MPD,MP,25.0,220.00,8.0,11.5,-55,105,1000,1.19,0.16,165,240,,,,,,,,3000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E331MPD,MP,25.0,330.00,10.0,12.5,-55,105,2000,1.49,0.16,248,315,,,,,,,,2000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E471MPD,MP,25.0,470.00,10.0,12.5,-55,105,2000,1.49,0.16,353,380,,,,,,,,2000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E102MPD,MP,25.0,1000.00,10.0,20.0,-55,105,2000,2.34,0.16,750,680,,,,,,,,1400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E222MHD,MP,25.0,2200.00,12.5,25.0,-55,105,2000,4.56,0.18,1650,1090,,,,,,,,800,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E332MHD,MP,25.0,3300.00,16.0,25.0,-55,105,2000,8.20,0.20,2475,1400,,,,,,,,400,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E472MHD,MP,25.0,4700.00,16.0,30.5,-55,105,2000,9.60,0.22,3525,1710,,,,,,,,300,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E682MHD,MP,25.0,6800.00,18.0,35.5,-55,105,2000,14.20,0.26,5100,2040,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E103MRD,EOL,25.0,10000.00,20.0,40.0,-55,105,2000,19.60,0.34,7500,2150,,,,,,,,150,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E153MRD,EOL,25.0,15000.00,22.0,50.0,-55,105,2000,27.40,0.44,11250,2750,,,,,,,,250,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1E223MRD,EOL,25.0,22000.00,25.0,50.0,-55,105,2000,38.80,0.58,16500,3250,,,,,,,,140,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V4R7MDD,EOL,35.0,4.70,5.0,11.0,-55,105,1000,0.44,0.14,5,28,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V100MDD,EOL,35.0,10.00,5.0,11.0,-55,105,1000,0.44,0.14,11,41,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V220MDD,EOL,35.0,22.00,5.0,11.0,-55,105,1000,0.44,0.14,23,61,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V330MDD,EOL,35.0,33.00,5.0,11.0,-55,105,1000,0.44,0.14,35,75,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V470MDD,EOL,35.0,47.00,5.0,11.0,-55,105,1000,0.44,0.14,49,93,,,,,,,,6000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V101MED,EOL,35.0,100.00,6.3,11.0,-55,105,1000,0.59,0.14,105,150,,,,,,,,4000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V221MPD,MP,35.0,220.00,10.0,12.5,-55,105,2000,1.49,0.14,231,275,,,,,,,,2000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
UVZ1V331MPD,MP,35.0,330.00,10.0,12.5,-55,105,2000,1.49,0.14,347,350,,,,,,,,2000,Radial Lead,6mmL Wide Temp. Range,Uni-Polar,Normal
