Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPS0J220MDD,EOL,6.3,22.00,5.0,11.0,-55,105,2000,0.44,0.24,4,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J330MDD,EOL,6.3,33.00,5.0,11.0,-55,105,2000,0.44,0.24,6,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J470MDD,EOL,6.3,47.00,5.0,11.0,-55,105,2000,0.44,0.24,9,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J101MDD,EOL,6.3,100.00,5.0,11.0,-55,105,2000,0.44,0.24,19,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J151MED,EOL,6.3,150.00,6.3,11.0,-55,105,2000,0.59,0.24,28,250,,,,,,,0.5,4000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J221MED,EOL,6.3,220.00,6.3,11.0,-55,105,2000,0.59,0.24,42,250,,,,,,,0.5,4000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J331MED,EOL,6.3,330.00,6.3,11.0,-55,105,2000,0.59,0.24,62,250,,,,,,,0.5,4000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J471MPD,MP,6.3,470.00,8.0,11.5,-55,105,2000,1.19,0.24,89,410,,,,,,,0.28,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J681MPD,MP,6.3,680.00,10.0,12.5,-55,105,2000,1.49,0.24,129,600,,,,,,,0.19,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J102MPD,MP,6.3,1000.00,10.0,12.5,-55,105,2000,1.49,0.24,189,600,,,,,,,0.19,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J152MPD,MP,6.3,1500.00,10.0,20.0,-55,105,2000,2.34,0.24,284,1000,,,,,,,0.11,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J222MHD,MP,6.3,2200.00,12.5,20.0,-55,105,3000,3.43,0.26,416,1250,,,,,,,0.075,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J332MHD,MP,6.3,3300.00,12.5,20.0,-55,105,3000,3.43,0.28,624,1250,,,,,,,0.075,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J472MHD,MP,6.3,4700.00,16.0,25.0,-55,105,3000,8.20,0.30,888,1900,,,,,,,0.038,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J682MHD,MP,6.3,6800.00,16.0,25.0,-55,105,3000,8.20,0.34,1285,1900,,,,,,,0.038,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J103MHD,MP,6.3,10000.00,16.0,30.5,-55,105,3000,9.60,0.42,1890,2350,,,,,,,0.033,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS0J153MHD,MP,6.3,15000.00,18.0,35.5,-55,105,3000,14.20,0.52,2835,2700,,,,,,,0.03,250,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A220MDD,EOL,10.0,22.00,5.0,11.0,-55,105,2000,0.44,0.20,7,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A330MDD,EOL,10.0,33.00,5.0,11.0,-55,105,2000,0.44,0.20,10,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A470MDD,EOL,10.0,47.00,5.0,11.0,-55,105,2000,0.44,0.20,14,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A101MDD,EOL,10.0,100.00,5.0,11.0,-55,105,2000,0.44,0.20,30,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A151MED,EOL,10.0,150.00,6.3,11.0,-55,105,2000,0.59,0.20,45,250,,,,,,,0.5,4000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A221MED,EOL,10.0,220.00,6.3,11.0,-55,105,2000,0.59,0.20,66,250,,,,,,,0.5,4000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A331MPD,MP,10.0,330.00,8.0,11.5,-55,105,2000,1.19,0.20,99,410,,,,,,,0.28,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A471MPD,MP,10.0,470.00,8.0,11.5,-55,105,2000,1.19,0.20,141,410,,,,,,,0.28,3000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A681MPD,MP,10.0,680.00,10.0,12.5,-55,105,2000,1.49,0.20,204,600,,,,,,,0.19,2000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A102MPD,MP,10.0,1000.00,10.0,16.0,-55,105,2000,1.77,0.20,300,800,,,,,,,0.14,1800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A152MPD,MP,10.0,1500.00,10.0,20.0,-55,105,2000,2.34,0.20,450,1000,,,,,,,0.11,1400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A222MHD,MP,10.0,2200.00,12.5,20.0,-55,105,3000,3.43,0.22,660,1250,,,,,,,0.075,1000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A332MHD,MP,10.0,3300.00,12.5,25.0,-55,105,3000,4.56,0.24,990,1550,,,,,,,0.057,800,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A472MHD,MP,10.0,4700.00,16.0,25.0,-55,105,3000,8.20,0.26,1410,1900,,,,,,,0.038,400,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A682MHD,MP,10.0,6800.00,16.0,30.5,-55,105,3000,9.60,0.30,2040,2350,,,,,,,0.033,300,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A103MHD,MP,10.0,10000.00,18.0,35.5,-55,105,3000,14.20,0.38,3000,2700,,,,,,,0.03,250,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1A153MHD,MP,10.0,15000.00,18.0,40.0,-55,105,3000,17.70,0.48,4500,3300,,,,,,,0.027,200,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1C100MDD,EOL,16.0,10.00,5.0,11.0,-55,105,2000,0.44,0.16,5,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1C220MDD,EOL,16.0,22.00,5.0,11.0,-55,105,2000,0.44,0.16,11,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1C330MDD,EOL,16.0,33.00,5.0,11.0,-55,105,2000,0.44,0.16,16,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1C470MDD,EOL,16.0,47.00,5.0,11.0,-55,105,2000,0.44,0.16,23,160,,,,,,,1.5,6000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UPS1C101MED,EOL,16.0,100.00,6.3,11.0,-55,105,2000,0.59,0.16,48,250,,,,,,,0.5,4000,Radial Lead,Minitualized Lo-Z For Switching Power Supplies,Uni-Polar,Normal
