Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/120Hz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPZW6390MHD,MP,420.0,39.00,12.5,30.5,-40,105,2000,6.01,0.20,755,310,,,,,,,,600,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZW6470MHD,MP,420.0,47.00,12.5,35.5,-40,105,2000,7.06,0.20,890,360,,,,,,,,500,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZW6560MHD,MP,420.0,56.00,12.5,40.0,-40,105,2000,7.57,0.20,1041,430,,,,,,,,400,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZW6680MHD,MP,420.0,68.00,16.0,30.5,-40,105,2000,9.60,0.20,1242,510,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZW6820MHD,MP,420.0,82.00,16.0,35.5,-40,105,2000,11.80,0.20,1478,570,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZW6101MHD,MP,420.0,100.00,16.0,40.0,-40,105,2000,14.10,0.20,1780,610,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZW6101MHD6,MP,420.0,100.00,18.0,30.5,-40,105,2000,13.10,0.20,1780,610,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZW6121MHD,MP,420.0,120.00,18.0,35.5,-40,105,2000,14.20,0.20,2116,660,,,,,,,,250,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZW6151MHD,MP,420.0,150.00,18.0,40.0,-40,105,2000,17.70,0.20,2620,710,,,,,,,,200,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W180MPD,MP,450.0,18.00,10.0,30.5,-40,105,2000,3.21,0.20,424,180,,,,,,,,1000,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W330MND9,LTB,450.0,33.00,10.0,40.0,-40,105,2000,5.24,0.20,694,360,,,,,,,,500,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W330MHD,MP,450.0,33.00,12.5,30.5,-40,105,2000,6.01,0.20,694,280,,,,,,,,600,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W390MHD,MP,450.0,39.00,12.5,35.5,-40,105,2000,7.06,0.20,802,320,,,,,,,,500,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W470MND9,LTB,450.0,47.00,10.0,50.0,-40,105,2000,6.45,0.20,946,450,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W470MHD,MP,450.0,47.00,12.5,40.0,-40,105,2000,7.57,0.20,946,380,,,,,,,,400,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W560MHD,MP,450.0,56.00,16.0,30.5,-40,105,2000,9.60,0.20,1108,440,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W680MHD,MP,450.0,68.00,16.0,35.5,-40,105,2000,11.80,0.20,1324,490,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W820MNY9,LTB,450.0,82.00,12.5,50.0,-40,105,2000,10.40,0.20,1576,730,,,,,,,,400,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W820MHD,MP,450.0,82.00,16.0,40.0,-40,105,2000,14.10,0.20,1576,550,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W820MHD6,MP,450.0,82.00,18.0,30.5,-40,105,2000,13.10,0.20,1576,550,,,,,,,,300,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W101MHD,MP,450.0,100.00,18.0,35.5,-40,105,2000,14.20,0.20,1900,650,,,,,,,,250,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
UPZ2W121MHD,MP,450.0,120.00,18.0,40.0,-40,105,2000,17.70,0.20,2260,740,,,,,,,,200,Radial Lead,Hi-Volt. MiniatureSized,Uni-Polar,Normal
