Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UKW0J331MED,EOL,6.3,330.00,6.3,11.0,-40,85,2000,0.59,0.28,62,265,,,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
UKW0J471MED,EOL,6.3,470.00,6.3,11.0,-40,85,2000,0.59,0.28,89,310,,,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
UKW0J102MPD,EOL,6.3,1000.00,8.0,11.5,-40,85,2000,1.19,0.28,189,530,,,,,,,,3000,Radial Lead,Standard,Uni-Polar,Normal
UKW0J222MPD,EOL,6.3,2200.00,10.0,20.0,-40,85,2000,2.34,0.30,416,980,,,,,,,,1400,Radial Lead,Standard,Uni-Polar,Normal
UKW0J332MPD,EOL,6.3,3300.00,10.0,20.0,-40,85,2000,2.34,0.32,624,1170,,,,,,,,1400,Radial Lead,Standard,Uni-Polar,Normal
UKW0J472MHD,EOL,6.3,4700.00,12.5,20.0,-40,85,2000,3.43,0.34,888,1350,,,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
UKW0J682MHD,EOL,6.3,6800.00,12.5,25.0,-40,85,2000,4.56,0.38,1285,1600,,,,,,,,800,Radial Lead,Standard,Uni-Polar,Normal
UKW0J103MHD,EOL,6.3,10000.00,16.0,25.0,-40,85,2000,8.20,0.46,1890,2000,,,,,,,,400,Radial Lead,Standard,Uni-Polar,Normal
UKW0J153MHD,EOL,6.3,15000.00,16.0,35.5,-40,85,2000,11.80,0.56,2835,2550,,,,,,,,300,Radial Lead,Standard,Uni-Polar,Normal
UKW0J223MHD,EOL,6.3,22000.00,18.0,40.0,-40,85,2000,17.70,0.70,4158,3200,,,,,,,,200,Radial Lead,Standard,Uni-Polar,Normal
UKW0J333MRD,EOL,6.3,33000.00,22.0,50.0,-40,85,2000,27.40,0.92,6237,3900,,,,,,,,250,Radial Lead,Standard,Uni-Polar,Normal
UKW1A101MDD,EOL,10.0,100.00,5.0,11.0,-40,85,2000,0.44,0.24,30,145,,,,,,,,6000,Radial Lead,Standard,Uni-Polar,Normal
UKW1A221MED,EOL,10.0,220.00,6.3,11.0,-40,85,2000,0.59,0.24,66,230,,,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
