Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UES1E471MHM,MP,25.0,470.00,16.0,25.0,-40,85,1000,8.20,0.16,353,,,,,,,,,400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1E102MHM,MP,25.0,1000.00,16.0,30.5,-40,85,1000,9.60,0.16,750,,,,,,,,,300,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V4R7MDM,EOL,35.0,4.70,5.0,11.0,-40,85,1000,0.44,0.14,5,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V100MEM,EOL,35.0,10.00,6.3,11.0,-40,85,1000,0.59,0.14,11,,,,,,,,,4000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V220MPM,MP,35.0,22.00,8.0,11.5,-40,85,1000,1.19,0.14,23,,,,,,,,,3000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V330MPM,MP,35.0,33.00,10.0,12.5,-40,85,1000,1.49,0.14,35,,,,,,,,,2000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V470MPM,MP,35.0,47.00,10.0,12.5,-40,85,1000,1.49,0.14,49,,,,,,,,,2000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V101MPM,MP,35.0,100.00,10.0,20.0,-40,85,1000,2.34,0.14,105,,,,,,,,,1400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V221MHM,MP,35.0,220.00,12.5,25.0,-40,85,1000,4.56,0.14,231,,,,,,,,,800,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V331MHM,MP,35.0,330.00,16.0,25.0,-40,85,1000,8.20,0.14,347,,,,,,,,,400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1V471MHM,MP,35.0,470.00,16.0,25.0,-40,85,1000,8.20,0.14,494,,,,,,,,,400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H010MDM,EOL,50.0,1.00,5.0,11.0,-40,85,1000,0.44,0.12,3,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H2R2MDM,EOL,50.0,2.20,5.0,11.0,-40,85,1000,0.44,0.12,3,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H3R3MDM,EOL,50.0,3.30,5.0,11.0,-40,85,1000,0.44,0.12,5,,,,,,,,,6000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H4R7MEM,EOL,50.0,4.70,6.3,11.0,-40,85,1000,0.59,0.12,7,,,,,,,,,4000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H100MPM,MP,50.0,10.00,8.0,11.5,-40,85,1000,1.19,0.12,15,,,,,,,,,3000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H220MPM,MP,50.0,22.00,10.0,12.5,-40,85,1000,1.49,0.12,33,,,,,,,,,2000,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H330MPM,MP,50.0,33.00,10.0,16.0,-40,85,1000,1.77,0.12,50,,,,,,,,,1800,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H470MPM,MP,50.0,47.00,10.0,20.0,-40,85,1000,2.34,0.12,71,,,,,,,,,1400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H101MHM,MP,50.0,100.00,12.5,25.0,-40,85,1000,4.56,0.12,150,,,,,,,,,800,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H221MHM,MP,50.0,220.00,16.0,25.0,-40,85,1000,8.20,0.12,330,,,,,,,,,400,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
UES1H331MHM,MP,50.0,330.00,16.0,30.5,-40,85,1000,9.60,0.12,495,,,,,,,,,300,Radial Lead,Bi-Polar For Audio,Bi-Polar,Normal
