Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHW0J221MDD,EOL,6.3,220.00,5.0,11.0,-40,105,6000,0.44,0.21,14,450,,,,,,1500,470,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J471MED,EOL,6.3,470.00,6.3,11.0,-40,105,6000,0.59,0.21,30,700,,,,,,660,200,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J821MPD,MP,6.3,820.00,8.0,11.5,-40,105,8000,1.19,0.21,52,1200,,,,,,360,100,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J102MPD,MP,6.3,1000.00,8.0,15.0,-40,105,9000,1.36,0.21,63,1600,,,,,,170,54,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J122MPD,MP,6.3,1200.00,10.0,12.5,-40,105,10000,1.49,0.21,76,1700,,,,,,150,48,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J152MPD,MP,6.3,1500.00,8.0,20.0,-40,105,9000,1.66,0.21,95,1960,,,,,,120,38,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J182MPD,MP,6.3,1800.00,10.0,16.0,-40,105,10000,1.77,0.21,113,2000,,,,,,90,30,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J222MPD,MP,6.3,2200.00,10.0,20.0,-40,105,10000,2.34,0.23,139,2500,,,,,,60,20,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J272MPD,MP,6.3,2700.00,10.0,20.0,-40,105,10000,2.34,0.23,170,2500,,,,,,60,20,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J332MPD,MP,6.3,3300.00,10.0,25.0,-40,105,10000,3.07,0.25,208,2900,,,,,,51,17,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J392MHD,MP,6.3,3900.00,12.5,20.0,-40,105,10000,3.43,0.25,246,2600,,,,,,51,17,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J472MHD,MP,6.3,4700.00,12.5,25.0,-40,105,10000,4.56,0.27,296,3200,,,,,,45,15,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J562MHD6,MP,6.3,5600.00,12.5,25.0,-40,105,10000,4.56,0.29,353,3200,,,,,,45,15,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J562MHD,MP,6.3,5600.00,12.5,30.5,-40,105,10000,6.01,0.29,353,3795,,,,,,36,12,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J682MHD,MP,6.3,6800.00,12.5,30.5,-40,105,10000,6.01,0.31,428,3795,,,,,,33,12,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J682MHD6,MP,6.3,6800.00,16.0,20.0,-40,105,10000,6.60,0.31,428,3575,,,,,,45,15,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J822MHD,MP,6.3,8200.00,16.0,25.0,-40,105,10000,8.20,0.35,517,3810,,,,,,39,13,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J103MHD,MP,6.3,10000.00,16.0,25.0,-40,105,10000,8.20,0.39,630,3810,,,,,,39,13,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHW0J123MHD,MP,6.3,12000.00,16.0,30.5,-40,105,10000,9.60,0.43,756,4000,,,,,,33,11,300,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
