Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHD1A472MHD,MP,10.0,4700.00,12.5,35.5,-40,105,5000,7.06,0.25,470,3400,,,,,,0.039,0.015,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1A562MHD,MP,10.0,5600.00,16.0,25.0,-40,105,5000,8.20,0.27,560,3460,,,,,,0.043,0.016,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C560MDD,EOL,16.0,56.00,5.0,11.0,-40,105,2000,0.44,0.16,9,250,,,,,,1.0,0.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C121MED,EOL,16.0,120.00,6.3,11.0,-40,105,2000,0.59,0.16,19,405,,,,,,0.41,0.13,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C331MPD,MP,16.0,330.00,8.0,11.5,-40,105,3000,1.19,0.16,53,760,,,,,,0.22,0.072,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C471MPD,MP,16.0,470.00,8.0,15.0,-40,105,3000,1.36,0.16,75,995,,,,,,0.17,0.056,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C471MPD6,MP,16.0,470.00,10.0,12.5,-40,105,4000,1.49,0.16,75,1030,,,,,,0.16,0.053,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C681MPD,MP,16.0,680.00,8.0,20.0,-40,105,3000,1.66,0.16,109,1250,,,,,,0.13,0.041,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C681MPD6,MP,16.0,680.00,10.0,16.0,-40,105,4000,1.77,0.16,109,1430,,,,,,0.12,0.038,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C102MPD,MP,16.0,1000.00,10.0,20.0,-40,105,4000,2.34,0.16,160,1820,,,,,,0.069,0.023,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C122MPD,MP,16.0,1200.00,10.0,25.0,-40,105,4000,3.07,0.16,192,2150,,,,,,0.066,0.022,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C152MHD,MP,16.0,1500.00,12.5,20.0,-40,105,5000,3.43,0.16,240,2360,,,,,,0.053,0.021,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C222MHD,MP,16.0,2200.00,12.5,25.0,-40,105,5000,4.56,0.18,352,2770,,,,,,0.045,0.018,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C272MHD,MP,16.0,2700.00,12.5,30.5,-40,105,5000,6.01,0.18,432,3290,,,,,,0.041,0.016,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C272MHD6,MP,16.0,2700.00,16.0,20.0,-40,105,5000,6.60,0.18,432,3140,,,,,,0.045,0.018,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C332MHD,MP,16.0,3300.00,12.5,35.5,-40,105,5000,7.06,0.20,528,3400,,,,,,0.039,0.015,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1C392MHD,MP,16.0,3900.00,16.0,25.0,-40,105,5000,8.20,0.20,624,3460,,,,,,0.043,0.016,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E470MDD,EOL,25.0,47.00,5.0,11.0,-40,105,2000,0.44,0.14,12,250,,,,,,1.0,0.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E101MED,EOL,25.0,100.00,6.3,11.0,-40,105,2000,0.59,0.14,25,405,,,,,,0.41,0.13,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E221MPD,MP,25.0,220.00,8.0,11.5,-40,105,3000,1.19,0.14,55,760,,,,,,0.22,0.072,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E331MPD,MP,25.0,330.00,8.0,15.0,-40,105,3000,1.36,0.14,83,995,,,,,,0.17,0.056,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E331MPD6,MP,25.0,330.00,10.0,12.5,-40,105,4000,1.49,0.14,83,1030,,,,,,0.16,0.053,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E471MPD,MP,25.0,470.00,8.0,20.0,-40,105,3000,1.66,0.14,118,1250,,,,,,0.13,0.041,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E471MPD6,MP,25.0,470.00,10.0,16.0,-40,105,4000,1.77,0.14,118,1430,,,,,,0.12,0.038,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E681MPD,MP,25.0,680.00,10.0,20.0,-40,105,4000,2.34,0.14,170,1820,,,,,,0.069,0.023,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E821MPD,MP,25.0,820.00,10.0,25.0,-40,105,4000,3.07,0.14,205,2150,,,,,,0.066,0.022,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E102MHD,MP,25.0,1000.00,12.5,20.0,-40,105,5000,3.43,0.14,250,2360,,,,,,0.053,0.021,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E152MHD,MP,25.0,1500.00,12.5,25.0,-40,105,5000,4.56,0.14,375,2770,,,,,,0.045,0.018,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E182MHD,MP,25.0,1800.00,12.5,30.5,-40,105,5000,6.01,0.14,450,3290,,,,,,0.041,0.016,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E182MHD6,MP,25.0,1800.00,16.0,20.0,-40,105,5000,6.60,0.14,450,3140,,,,,,0.045,0.018,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E222MHD,MP,25.0,2200.00,12.5,35.5,-40,105,5000,7.06,0.16,550,3400,,,,,,0.039,0.015,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1E272MHD,MP,25.0,2700.00,16.0,25.0,-40,105,5000,8.20,0.16,675,3460,,,,,,0.043,0.016,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V330MDD,EOL,35.0,33.00,5.0,11.0,-40,105,2000,0.44,0.12,12,250,,,,,,1.0,0.3,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V560MED,EOL,35.0,56.00,6.3,11.0,-40,105,2000,0.59,0.12,20,405,,,,,,0.41,0.13,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V151MPD,MP,35.0,150.00,8.0,11.5,-40,105,3000,1.19,0.12,53,760,,,,,,0.22,0.072,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V221MPD,MP,35.0,220.00,8.0,15.0,-40,105,3000,1.36,0.12,77,995,,,,,,0.17,0.056,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V221MPD6,MP,35.0,220.00,10.0,12.5,-40,105,4000,1.49,0.12,77,1030,,,,,,0.16,0.053,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V271MPD,MP,35.0,270.00,8.0,20.0,-40,105,3000,1.66,0.12,95,1250,,,,,,0.13,0.041,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V331MPD,MP,35.0,330.00,10.0,16.0,-40,105,4000,1.77,0.12,116,1430,,,,,,0.12,0.038,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V471MPD,MP,35.0,470.00,10.0,20.0,-40,105,4000,2.34,0.12,165,1820,,,,,,0.069,0.023,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V561MPD,MP,35.0,560.00,10.0,25.0,-40,105,4000,3.07,0.12,196,2150,,,,,,0.066,0.022,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V681MHD,MP,35.0,680.00,12.5,20.0,-40,105,5000,3.43,0.12,238,2360,,,,,,0.053,0.021,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V102MHD,MP,35.0,1000.00,12.5,25.0,-40,105,5000,4.56,0.12,350,2770,,,,,,0.045,0.018,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V122MHD,MP,35.0,1200.00,12.5,30.5,-40,105,5000,6.01,0.12,420,3290,,,,,,0.041,0.016,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V122MHD6,MP,35.0,1200.00,16.0,20.0,-40,105,5000,6.60,0.12,420,3140,,,,,,0.045,0.018,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V152MHD,MP,35.0,1500.00,12.5,35.5,-40,105,5000,7.06,0.12,525,3400,,,,,,0.039,0.015,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1V182MHD,MP,35.0,1800.00,16.0,25.0,-40,105,5000,8.20,0.12,630,3460,,,,,,0.043,0.016,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H220MDD,EOL,50.0,22.00,5.0,11.0,-40,105,2000,0.44,0.10,11,238,,,,,,1.18,0.34,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H560MED,EOL,50.0,56.00,6.3,11.0,-40,105,2000,0.59,0.10,28,385,,,,,,0.5,0.14,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHD1H101MPD,MP,50.0,100.00,8.0,11.5,-40,105,3000,1.19,0.10,50,724,,,,,,0.22,0.074,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
