Capacitance (µF),Voltage (V),CV,50Hz,120Hz,300Hz,1kHz,10kHz,100kHz or more,10kHz or more
4.7 to 330,10 to 100,1000 < CV,0.75,1.0,1.25,1.5,1.75,1.8,
.47 to 150,160 to 450,1000 ≥ CV,0.8,1.0,1.15,1.3,1.4,1.5,
,10 to 100,1000 < CV,,0.5,0.64,0.83,,,1.0
,10 to 100,1000 ≥ CV,,0.67,0.79,0.91,,,1.0
