Frequency,Capacitance (µF),Voltage (V),Coefficient
50Hz,4.7 to 33,10 to 100,0.75
120Hz,4.7 to 33,10 to 100,1.0
300Hz,4.7 to 33,10 to 100,1.25
1kHz,4.7 to 33,10 to 100,1.5
10kHz,4.7 to 33,10 to 100,1.75
100kHz,4.7 to 33,10 to 100,1.8
50Hz,47 to 150,160 to 450,0.8
120Hz,47 to 150,160 to 450,1.0
300Hz,47 to 150,160 to 450,1.15
1kHz,47 to 150,160 to 450,1.3
10kHz,47 to 150,160 to 450,1.4
100kHz,47 to 150,160 to 450,1.5
120Hz,1000 > CV,10 to 100,0.5
300Hz,1000 > CV,10 to 100,0.64
1kHz,1000 > CV,10 to 100,0.83
10kHz,1000 > CV,10 to 100,1.0
120Hz,1000 ≤ CV,10 to 100,0.67
300Hz,1000 ≤ CV,10 to 100,0.79
1kHz,1000 ≤ CV,10 to 100,0.91
10kHz,1000 ≤ CV,10 to 100,1.0
