Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UAQ2D220MPD,LTB,200.0,22.00,10.0,20.0,-40,105,2000,2.34,0.15,276,120,,,,,,,,1400,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D330MPD,LTB,200.0,33.00,10.0,25.0,-40,105,2000,3.07,0.15,364,160,,,,,,,,1200,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D330MHD6,LTB,200.0,33.00,12.5,20.0,-40,105,2000,3.43,0.15,364,160,,,,,,,,1000,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D470MPD,LTB,200.0,47.00,10.0,30.5,-40,105,2000,3.21,0.15,476,195,,,,,,,,1000,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D470MHD6,LTB,200.0,47.00,12.5,20.0,-40,105,2000,3.43,0.15,476,195,,,,,,,,1000,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D560MHD,LTB,200.0,56.00,12.5,25.0,-40,105,2000,4.56,0.15,548,210,,,,,,,,800,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D680MHD,LTB,200.0,68.00,12.5,25.0,-40,105,2000,4.56,0.15,644,250,,,,,,,,800,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D820MHD,LTB,200.0,82.00,12.5,30.5,-40,105,2000,6.01,0.15,756,285,,,,,,,,600,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D820MHD6,LTB,200.0,82.00,16.0,20.0,-40,105,2000,6.60,0.15,756,335,,,,,,,,600,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D101MHD,LTB,200.0,100.00,12.5,35.5,-40,105,2000,7.06,0.15,900,335,,,,,,,,500,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D101MHD6,LTB,200.0,100.00,16.0,25.0,-40,105,2000,8.20,0.15,900,335,,,,,,,,400,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D101MHD3,LTB,200.0,100.00,18.0,20.0,-40,105,2000,9.00,0.15,900,335,,,,,,,,400,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D151MHD,LTB,200.0,150.00,16.0,30.5,-40,105,2000,9.60,0.15,1300,435,,,,,,,,300,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D151MHD6,LTB,200.0,150.00,18.0,25.0,-40,105,2000,10.60,0.15,1300,435,,,,,,,,300,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D151MRD3,EOL,200.0,150.00,22.0,20.0,-40,105,2000,12.10,0.15,1300,435,,,,,,,,250,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D181MHD,LTB,200.0,180.00,16.0,35.5,-40,105,2000,11.80,0.15,1540,495,,,,,,,,300,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D181MHD6,LTB,200.0,180.00,18.0,30.5,-40,105,2000,13.10,0.15,1540,495,,,,,,,,300,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D181MRD3,EOL,200.0,180.00,22.0,25.0,-40,105,2000,15.40,0.15,1540,495,,,,,,,,250,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2D221MHD,LTB,200.0,220.00,18.0,35.5,-40,105,2000,14.20,0.15,1860,575,,,,,,,,250,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G100MHD,LTB,400.0,10.00,12.5,20.0,-40,105,2000,3.43,0.15,260,100,,,,,,,,1000,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G220MHD,LTB,400.0,22.00,12.5,30.5,-40,105,2000,6.01,0.15,452,145,,,,,,,,600,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G220MHD6,LTB,400.0,22.00,16.0,20.0,-40,105,2000,6.60,0.15,452,145,,,,,,,,600,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G330MHD,LTB,400.0,33.00,12.5,40.0,-40,105,2000,7.57,0.15,628,195,,,,,,,,400,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G330MHD6,LTB,400.0,33.00,16.0,25.0,-40,105,2000,8.20,0.15,628,195,,,,,,,,400,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G330MHD3,LTB,400.0,33.00,18.0,20.0,-40,105,2000,9.00,0.15,628,195,,,,,,,,400,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G470MHD,LTB,400.0,47.00,16.0,35.5,-40,105,2000,11.80,0.15,852,280,,,,,,,,300,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G470MHD6,LTB,400.0,47.00,18.0,25.0,-40,105,2000,10.60,0.15,852,280,,,,,,,,300,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
UAQ2G470MRD3,EOL,400.0,47.00,22.0,20.0,-40,105,2000,12.10,0.15,852,280,,,,,,,,250,Radial Lead,For Permissible Abnormal Volt.,Uni-Polar,Normal
