Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
ULD1A101MDD,EOL,10.0,100.00,5.0,11.0,-40,105,10000,0.44,0.45,10,130,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1A221MED,EOL,10.0,220.00,6.3,11.0,-40,105,10000,0.59,0.45,22,210,,,,,,,,4000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1A331MPD,MP,10.0,330.00,8.0,11.5,-40,105,10000,1.19,0.45,33,330,,,,,,,,3000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1C470MDD,EOL,16.0,47.00,5.0,11.0,-40,105,10000,0.44,0.35,8,130,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1C101MED,EOL,16.0,100.00,6.3,11.0,-40,105,10000,0.59,0.35,16,210,,,,,,,,4000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1C151MED,EOL,16.0,150.00,6.3,11.0,-40,105,10000,0.59,0.35,24,210,,,,,,,,4000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1C221MPD,MP,16.0,220.00,8.0,11.5,-40,105,10000,1.19,0.35,35,330,,,,,,,,3000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1C271MPD,MP,16.0,270.00,8.0,11.5,-40,105,10000,1.19,0.35,43,330,,,,,,,,3000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1E330MDD,EOL,25.0,33.00,5.0,11.0,-40,105,10000,0.44,0.30,8,130,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1E470MDD,EOL,25.0,47.00,5.0,11.0,-40,105,10000,0.44,0.30,12,130,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1E101MED,EOL,25.0,100.00,6.3,11.0,-40,105,10000,0.59,0.30,25,210,,,,,,,,4000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1E151MPD,MP,25.0,150.00,8.0,11.5,-40,105,10000,1.19,0.30,38,330,,,,,,,,3000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1V330MDD,EOL,35.0,33.00,5.0,11.0,-40,105,10000,0.44,0.22,12,130,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1V470MED,EOL,35.0,47.00,6.3,11.0,-40,105,10000,0.59,0.22,16,210,,,,,,,,4000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1V101MPD,MP,35.0,100.00,8.0,11.5,-40,105,10000,1.19,0.22,35,330,,,,,,,,3000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1H010MDD,EOL,50.0,1.00,5.0,11.0,-40,105,10000,0.44,0.19,3,25,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1H2R2MDD,EOL,50.0,2.20,5.0,11.0,-40,105,10000,0.44,0.19,3,35,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1H3R3MDD,EOL,50.0,3.30,5.0,11.0,-40,105,10000,0.44,0.19,3,70,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1H4R7MDD,EOL,50.0,4.70,5.0,11.0,-40,105,10000,0.44,0.19,3,80,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1H6R8MDD,EOL,50.0,6.80,5.0,11.0,-40,105,10000,0.44,0.19,3,80,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1H100MDD,EOL,50.0,10.00,5.0,11.0,-40,105,10000,0.44,0.19,5,90,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
ULD1H220MDD,EOL,50.0,22.00,5.0,11.0,-40,105,10000,0.44,0.19,11,135,,,,,,,,6000,Radial Lead,Minitualized Long Life,Uni-Polar,Normal
