Cap. (µF),Frequency,50Hz,120Hz,300Hz,1kHz,10kHz
15 to 47,0.2,0.3,0.5,0.8,1.0,
68 to 330,0.55,0.65,0.75,0.85,1.0,
390 to 1000,0.7,0.75,0.8,0.9,1.0,
1200 to 15000,0.8,0.85,0.9,0.95,1.0,
