Cap. (µF),50Hz,120Hz,300Hz,1kHz,10kHz or more
180 to 330,0.55,0.65,0.75,0.85,1.0
390 to 1000,0.7,0.75,0.8,0.9,1.0
1200 to 10000,0.8,0.85,0.9,0.95,1.0
