Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UCS2C100MPD,MP,160.0,10.00,10.0,16.0,-40,105,8000,1.77,0.20,164,320,,,,,,,,1800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C220MPD,MP,160.0,22.00,10.0,20.0,-40,105,8000,2.34,0.20,241,500,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C330MPD,MP,160.0,33.00,10.0,20.0,-40,105,8000,2.34,0.20,311,650,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C470MPD,MP,160.0,47.00,10.0,20.0,-40,105,8000,2.34,0.20,401,750,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C680MHD,MP,160.0,68.00,12.5,20.0,-40,105,10000,3.43,0.20,535,1180,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C820MHD,MP,160.0,82.00,12.5,20.0,-40,105,10000,3.43,0.20,625,1275,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C101MHD,MP,160.0,100.00,12.5,25.0,-40,105,10000,4.56,0.20,740,1420,,,,,,,,800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C101MHD6,MP,160.0,100.00,16.0,20.0,-40,105,10000,6.60,0.20,740,1420,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C151MHD,MP,160.0,150.00,16.0,20.0,-40,105,10000,6.60,0.20,1060,1890,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C221MHD,MP,160.0,220.00,16.0,25.0,-40,105,10000,8.20,0.20,1508,2370,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2C331MHD,MP,160.0,330.00,18.0,30.5,-40,105,10000,13.10,0.20,2212,3130,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D100MPD,MP,200.0,10.00,10.0,16.0,-40,105,8000,1.77,0.20,180,320,,,,,,,,1800,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D220MPD,MP,200.0,22.00,10.0,20.0,-40,105,8000,2.34,0.20,276,500,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D330MPD,MP,200.0,33.00,10.0,20.0,-40,105,8000,2.34,0.20,364,650,,,,,,,,1400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D470MHD,MP,200.0,47.00,12.5,20.0,-40,105,10000,3.43,0.20,476,980,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D680MHD,MP,200.0,68.00,12.5,20.0,-40,105,10000,3.43,0.20,644,1300,,,,,,,,1000,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D820MHD,MP,200.0,82.00,16.0,20.0,-40,105,10000,6.60,0.20,756,1380,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D101MND9,LTB,200.0,100.00,10.0,40.0,-40,105,10000,5.24,0.20,900,1260,,,,,,,,500,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D101MHD,MP,200.0,100.00,16.0,20.0,-40,105,10000,6.60,0.20,900,1420,,,,,,,,600,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D121MND9,LTB,200.0,120.00,10.0,40.0,-40,105,10000,5.24,0.20,1060,1360,,,,,,,,500,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D151MND9,LTB,200.0,150.00,10.0,50.0,-40,105,10000,6.45,0.20,1300,1660,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D151MHD,MP,200.0,150.00,16.0,25.0,-40,105,10000,8.20,0.20,1300,1890,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D221MHD,MP,200.0,220.00,18.0,25.0,-40,105,10000,10.60,0.20,1860,2365,,,,,,,,300,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
UCS2D271MNY9,LTB,200.0,270.00,12.5,50.0,-40,105,10000,10.40,0.20,2260,2530,,,,,,,,400,Radial Lead,Minitualized Hi-Ripple Cur. Hi-Reliability,Uni-Polar,Normal
