Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UPV1E470MGD,EOL,25.0,47.00,6.3,11.0,-55,105,5000,0.59,0.14,35,210,,,,,,,940,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E560MGD,EOL,25.0,56.00,6.3,11.0,-55,105,5000,0.59,0.14,42,235,,,,,,,750,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E680MGD,EOL,25.0,68.00,6.3,11.0,-55,105,5000,0.59,0.14,51,260,,,,,,,610,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E820MGD,EOL,25.0,82.00,6.3,11.0,-55,105,5000,0.59,0.14,62,285,,,,,,,510,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E101MGD,MP,25.0,100.00,8.0,11.5,-55,105,5000,1.19,0.14,75,370,,,,,,,410,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E121MGD,MP,25.0,120.00,8.0,11.5,-55,105,5000,1.19,0.14,90,405,,,,,,,340,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1E151MGD,MP,25.0,150.00,8.0,11.5,-55,105,5000,1.19,0.14,113,460,,,,,,,270,3000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V220MFD,EOL,35.0,22.00,5.0,11.0,-55,105,5000,0.44,0.12,23,160,,,,,,,1300,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V270MFD,EOL,35.0,27.00,5.0,11.0,-55,105,5000,0.44,0.12,28,180,,,,,,,1000,6000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
UPV1V330MGD,EOL,35.0,33.00,6.3,11.0,-55,105,5000,0.59,0.12,35,225,,,,,,,830,4000,Radial Lead,Minitualized Lo-Z Hi-Reliability,Uni-Polar,Normal
