Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
RNU0E152MCN1,MP,2.5,1500.00,8.0,11.5,-55,105,2000,0.93,0.08,937,4700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0E152MDN1,MP,2.5,1500.00,8.0,11.5,-55,105,2000,0.93,0.08,937,4700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0E272MDN1,MP,2.5,2700.00,10.0,12.5,-55,105,2000,1.35,0.08,1350,6100,,0.007,,,,,,1600,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0G821MCN1,MP,4.0,820.00,8.0,11.5,-55,105,2000,0.93,0.08,656,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0G821MDN1,MP,4.0,820.00,8.0,11.5,-55,105,2000,0.93,0.08,656,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0G102MCN1,MP,4.0,1000.00,8.0,11.5,-55,105,2000,0.93,0.08,800,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0G102MDN1,MP,4.0,1000.00,8.0,11.5,-55,105,2000,0.93,0.08,800,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0G122MCN1,MP,4.0,1200.00,8.0,11.5,-55,105,2000,0.93,0.08,960,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0G122MDN1,MP,4.0,1200.00,8.0,11.5,-55,105,2000,0.93,0.08,960,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0G182MDN1,MP,4.0,1800.00,10.0,12.5,-55,105,2000,1.35,0.08,1440,6100,,0.007,,,,,,1600,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0G222MDN1,MP,4.0,2200.00,10.0,12.5,-55,105,2000,1.35,0.08,1760,6100,,0.007,,,,,,1600,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J221MCS1,MP,6.3,220.00,6.3,10.0,-55,105,2000,0.54,0.08,277,3200,,0.02,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J221MDS1,MP,6.3,220.00,6.3,10.0,-55,105,2000,0.54,0.08,277,3200,,0.02,,,,,,3200,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J471MCN1,MP,6.3,470.00,8.0,11.5,-55,105,2000,0.93,0.08,592,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J471MDN1,MP,6.3,470.00,8.0,11.5,-55,105,2000,0.93,0.08,592,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J681MCN1,MP,6.3,680.00,8.0,11.5,-55,105,2000,0.93,0.08,856,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J681MDN1,MP,6.3,680.00,8.0,11.5,-55,105,2000,0.93,0.08,856,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J821MCN1,MP,6.3,820.00,8.0,11.5,-55,105,2000,0.93,0.08,1033,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J821MDN1,MP,6.3,820.00,8.0,11.5,-55,105,2000,0.93,0.08,1033,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J102MCN1,MP,6.3,1000.00,8.0,11.5,-55,105,2000,0.93,0.08,1260,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
RNU0J102MDN1,MP,6.3,1000.00,8.0,11.5,-55,105,2000,0.93,0.08,1260,5700,,0.007,,,,,,2000,Radial Lead,Hi-Cap.,Uni-Polar,Normal
