Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UBX1A331MPL,EOL,10.0,330.00,10.0,16.0,-55,150,1000,1.77,0.20,99,300,,,,,,,,1800,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1A471MPL,EOL,10.0,470.00,10.0,20.0,-55,150,1000,2.34,0.20,141,400,,,,,,,,1400,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1A102MHL,LTB,10.0,1000.00,12.5,25.0,-55,150,1000,4.56,0.20,300,600,,,,,,,,800,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1A222MHL,LTB,10.0,2200.00,16.0,30.5,-55,150,2000,9.60,0.22,660,1000,,,,,,,,300,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1A332MHL,LTB,10.0,3300.00,18.0,35.5,-55,150,2000,14.20,0.24,990,1200,,,,,,,,250,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1A472MHL,LTB,10.0,4700.00,18.0,40.0,-55,150,2000,17.70,0.26,1410,1300,,,,,,,,200,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1C221MPL,EOL,16.0,220.00,10.0,16.0,-55,150,1000,1.77,0.16,106,300,,,,,,,,1800,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1C331MPL,EOL,16.0,330.00,10.0,20.0,-55,150,1000,2.34,0.16,158,400,,,,,,,,1400,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1C471MHL,MP,16.0,470.00,12.5,20.0,-55,150,1000,3.43,0.16,226,600,,,,,,,,1000,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1C102MHL,MP,16.0,1000.00,16.0,25.0,-55,150,2000,8.20,0.16,480,800,,,,,,,,400,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1C222MHL,MP,16.0,2200.00,18.0,35.5,-55,150,2000,14.20,0.18,1056,1200,,,,,,,,250,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1C332MHL,MP,16.0,3300.00,18.0,40.0,-55,150,2000,17.70,0.20,1584,1300,,,,,,,,200,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1E101MPL,EOL,25.0,100.00,10.0,12.5,-55,150,1000,1.49,0.14,75,250,,,,,,,,2000,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1E221MHL,MP,25.0,220.00,12.5,20.0,-55,150,1000,3.43,0.14,165,500,,,,,,,,1000,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1E331MHL,MP,25.0,330.00,12.5,25.0,-55,150,1000,4.56,0.14,248,600,,,,,,,,800,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1E471MHL,MP,25.0,470.00,16.0,25.0,-55,150,2000,8.20,0.14,353,800,,,,,,,,400,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1E102MHL,MP,25.0,1000.00,16.0,30.5,-55,150,2000,9.60,0.14,750,1000,,,,,,,,300,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1V2R2MPL,EOL,35.0,2.20,10.0,12.5,-55,150,1000,1.49,0.12,4,50,,,,,,,,2000,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1V3R3MPL,EOL,35.0,3.30,10.0,12.5,-55,150,1000,1.49,0.12,4,60,,,,,,,,2000,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
UBX1V4R7MPL,EOL,35.0,4.70,10.0,12.5,-55,150,1000,1.49,0.12,5,85,,,,,,,,2000,Radial Lead,Hi-Temp.(150degC) For Automotive,Uni-Polar,Normal
