Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
RL80E561MCN1,MP,2.5,560.00,8.0,8.0,-55,105,2000,0.71,0.12,500,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E561MCNASQ,MP,2.5,560.00,8.0,8.0,-55,105,5000,0.71,0.12,500,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E561MDN1,MP,2.5,560.00,8.0,8.0,-55,105,2000,0.71,0.12,500,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E561MDNASQ,MP,2.5,560.00,8.0,8.0,-55,105,5000,0.71,0.12,500,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E821MCN1,MP,2.5,820.00,8.0,8.0,-55,105,2000,0.71,0.12,512,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E821MCNASQ,MP,2.5,820.00,8.0,8.0,-55,105,5000,0.71,0.12,512,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E821MDN1,MP,2.5,820.00,8.0,8.0,-55,105,2000,0.71,0.12,512,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E821MDNASQ,MP,2.5,820.00,8.0,8.0,-55,105,5000,0.71,0.12,512,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E102MCN1,MP,2.5,1000.00,8.0,8.0,-55,105,2000,0.71,0.12,625,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E102MCNASQ,MP,2.5,1000.00,8.0,8.0,-55,105,5000,0.71,0.12,625,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E102MDN1,MP,2.5,1000.00,8.0,8.0,-55,105,2000,0.71,0.12,625,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E102MDNASQ,MP,2.5,1000.00,8.0,8.0,-55,105,5000,0.71,0.12,625,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E122MCN1,MP,2.5,1200.00,8.0,8.0,-55,105,2000,0.71,0.12,750,6100,,0.007,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E122MCNASQ,MP,2.5,1200.00,8.0,8.0,-55,105,5000,0.71,0.12,750,6100,,0.007,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E122MDN1,MP,2.5,1200.00,8.0,8.0,-55,105,2000,0.71,0.12,750,6100,,0.007,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E122MDNASQ,MP,2.5,1200.00,8.0,8.0,-55,105,5000,0.71,0.12,750,6100,,0.007,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E152MCN1,MP,2.5,1500.00,8.0,8.0,-55,105,2000,0.71,0.12,937,6100,,0.007,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E152MCNASQ,MP,2.5,1500.00,8.0,8.0,-55,105,5000,0.71,0.12,937,6100,,0.007,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E152MDN1,MP,2.5,1500.00,8.0,8.0,-55,105,2000,0.71,0.12,937,6100,,0.007,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80E152MDNASQ,MP,2.5,1500.00,8.0,8.0,-55,105,5000,0.71,0.12,937,6100,,0.007,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80G561MCN1,MP,4.0,560.00,8.0,8.0,-55,105,2000,0.71,0.12,560,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
RL80G561MCNASQ,MP,4.0,560.00,8.0,8.0,-55,105,5000,0.71,0.12,560,6100,,0.006,,,,,,3200,Radial Lead,Lo-ESR and Lo-Profile (φ8),Uni-Polar,Normal
