Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UHV1A152MPD6,MP,10.0,1500.00,8.0,20.0,-40,105,6000,1.66,0.18,150,1550,,,,,,0.105,0.031,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A152MPD,MP,10.0,1500.00,10.0,16.0,-40,105,6000,1.77,0.18,150,1815,,,,,,0.095,0.03,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A182MPD,MP,10.0,1800.00,10.0,20.0,-40,105,6000,2.34,0.18,180,2160,,,,,,0.057,0.019,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A222MPD,MP,10.0,2200.00,10.0,25.0,-40,105,6000,3.07,0.20,220,2475,,,,,,0.051,0.017,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A272MHD,MP,10.0,2700.00,12.5,20.0,-40,105,6000,3.43,0.20,270,2475,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A332MHD,MP,10.0,3300.00,12.5,20.0,-40,105,6000,3.43,0.22,330,2725,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A392MHD,MP,10.0,3900.00,12.5,25.0,-40,105,6000,4.56,0.22,390,3190,,,,,,0.036,0.014,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A472MHD,MP,10.0,4700.00,12.5,30.5,-40,105,6000,6.01,0.24,470,3795,,,,,,0.031,0.012,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A472MHD6,MP,10.0,4700.00,16.0,20.0,-40,105,6000,6.60,0.24,470,3575,,,,,,0.036,0.014,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A562MHD,MP,10.0,5600.00,12.5,35.5,-40,105,6000,7.06,0.26,560,3975,,,,,,0.029,0.011,500,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1A682MHD,MP,10.0,6800.00,16.0,25.0,-40,105,6000,8.20,0.28,680,3990,,,,,,0.033,0.012,400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C101MDD,EOL,16.0,100.00,5.0,11.0,-40,105,5000,0.44,0.15,16,360,,,,,,0.76,0.23,6000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C151MED,EOL,16.0,150.00,6.3,11.0,-40,105,5000,0.59,0.15,24,450,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C221MED,EOL,16.0,220.00,6.3,11.0,-40,105,5000,0.59,0.15,35,550,,,,,,0.33,0.1,4000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C331MPD,MP,16.0,330.00,8.0,11.5,-40,105,6000,1.19,0.15,53,830,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C471MPD,MP,16.0,470.00,8.0,11.5,-40,105,6000,1.19,0.15,75,990,,,,,,0.181,0.059,3000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C681MPD6,MP,16.0,680.00,8.0,15.0,-40,105,6000,1.36,0.15,109,1330,,,,,,0.143,0.046,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C681MPD,MP,16.0,680.00,10.0,12.5,-40,105,6000,1.49,0.15,109,1360,,,,,,0.133,0.043,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C821MPD,MP,16.0,820.00,10.0,16.0,-40,105,6000,1.77,0.15,131,1650,,,,,,0.095,0.03,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C102MPD6,MP,16.0,1000.00,8.0,20.0,-40,105,6000,1.66,0.15,160,1550,,,,,,0.105,0.031,2000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C102MPD,MP,16.0,1000.00,10.0,16.0,-40,105,6000,1.77,0.15,160,1815,,,,,,0.095,0.03,1800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C122MPD,MP,16.0,1200.00,10.0,20.0,-40,105,6000,2.34,0.15,192,1930,,,,,,0.057,0.019,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C152MPD,MP,16.0,1500.00,10.0,20.0,-40,105,6000,2.34,0.15,240,2160,,,,,,0.057,0.019,1400,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C182MPD,MP,16.0,1800.00,10.0,25.0,-40,105,6000,3.07,0.15,288,2475,,,,,,0.051,0.017,1200,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C222MHD,MP,16.0,2200.00,12.5,20.0,-40,105,6000,3.43,0.17,352,2725,,,,,,0.041,0.016,1000,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C272MHD,MP,16.0,2700.00,12.5,25.0,-40,105,6000,4.56,0.17,432,3190,,,,,,0.036,0.014,800,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
UHV1C332MHD,MP,16.0,3300.00,12.5,30.5,-40,105,6000,6.01,0.19,528,3795,,,,,,0.031,0.012,600,Radial Lead,Lo-Z For Switching Power Supplies,Uni-Polar,Normal
