Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
PLX1C151MCL1,NRND,16.0,150.00,8.0,9.0,-55,125,3000,0.75,0.12,480,810,2100,26,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1C221MDL1,NRND,16.0,220.00,8.0,12.0,-55,125,3000,0.95,0.12,704,930,2400,25,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1C391MDL1,NRND,16.0,390.00,10.0,13.0,-55,125,3000,1.50,0.12,1248,1130,2900,23,,,,,,1000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1D121MCL1,NRND,20.0,120.00,8.0,9.0,-55,125,3000,0.75,0.12,480,800,2000,27,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1D151MDL1,NRND,20.0,150.00,8.0,12.0,-55,125,3000,0.95,0.12,600,910,2300,26,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1D271MDL1,NRND,20.0,270.00,10.0,13.0,-55,125,3000,1.50,0.12,1080,1110,2800,24,,,,,,1000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1E820MCL1,NRND,25.0,82.00,8.0,9.0,-55,125,3000,0.75,0.12,410,780,2000,28,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1E121MDL1,NRND,25.0,120.00,8.0,12.0,-55,125,3000,0.95,0.12,600,890,2300,27,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1E181MDL1,NRND,25.0,180.00,10.0,13.0,-55,125,3000,1.50,0.12,900,1080,2800,25,,,,,,1000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1V390MCL1,NRND,35.0,39.00,8.0,9.0,-55,125,3000,0.75,0.12,273,720,1800,33,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1V560MDL1,NRND,35.0,56.00,8.0,12.0,-55,125,3000,0.95,0.12,392,830,2100,31,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1V101MDL1,NRND,35.0,100.00,10.0,13.0,-55,125,3000,1.50,0.12,700,1040,2700,28,,,,,,1000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1H220MCL1,NRND,50.0,22.00,8.0,9.0,-55,125,3000,0.75,0.12,220,700,1800,35,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1H270MDL1,NRND,50.0,27.00,8.0,12.0,-55,125,3000,0.95,0.12,270,810,2000,33,,,,,,2000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
PLX1H470MDL1,NRND,50.0,47.00,10.0,13.0,-55,125,3000,1.50,0.12,470,1020,2600,29,,,,,,1000,Radial Lead,Hi-Reliability,Uni-Polar,Normal
