Capacitance (µF),50Hz,120Hz,300Hz,1kHz,10kHz or more
22 to 47,—,0.17,0.4,0.65,1.0
100 to 220,0.30,0.5,0.65,0.8,1.0
330 to 680,0.57,0.71,0.82,0.9,1.0
1000 to 15000,0.75,0.87,0.96,0.98,1.0
