Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (125℃/100kHz),Ripple Rating (135℃/100kHz),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UXY1E782MHW,MP,25.0,7800.00,18.0,30.5,-40,135,3000,13.10,0.26,5850,5380,3330,0.023,0.19,,,,,300,Radial Lead,Vibration Resistance(125/135degC),Uni-Polar,Vibration resistant
UXY1E113MHW,MP,25.0,11000.00,18.0,40.0,-40,135,3000,17.70,0.34,8250,6800,3900,0.019,0.13,,,,,200,Radial Lead,Vibration Resistance(125/135degC),Uni-Polar,Vibration resistant
UXY1V502MHW,MP,35.0,5000.00,18.0,30.5,-40,135,3000,13.10,0.20,5250,5380,3330,0.023,0.19,,,,,300,Radial Lead,Vibration Resistance(125/135degC),Uni-Polar,Vibration resistant
UXY1V732MHW,MP,35.0,7300.00,18.0,40.0,-40,135,3000,17.70,0.24,7665,6800,3900,0.019,0.13,,,,,200,Radial Lead,Vibration Resistance(125/135degC),Uni-Polar,Vibration resistant
