Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UDB1H010MPM,LTB,50.0,1.00,8.0,11.5,-40,85,,1.19,0.10,3,,,,,,,,,3000,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H1R5MPM,LTB,50.0,1.50,8.0,11.5,-40,85,,1.19,0.10,3,,,,,,,,,3000,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H2R2MPM,LTB,50.0,2.20,10.0,12.5,-40,85,,1.49,0.10,3,,,,,,,,,2000,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H3R3MPM,LTB,50.0,3.30,10.0,16.0,-40,85,,1.77,0.10,5,,,,,,,,,1800,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H4R7MPM,LTB,50.0,4.70,10.0,20.0,-40,85,,2.34,0.10,7,,,,,,,,,1400,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H6R8MHM,LTB,50.0,6.80,12.5,20.0,-40,85,,3.43,0.10,10,,,,,,,,,1000,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H100MHM,LTB,50.0,10.00,12.5,25.0,-40,85,,4.56,0.10,15,,,,,,,,,800,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H150MHM,LTB,50.0,15.00,12.5,25.0,-40,85,,4.56,0.10,23,,,,,,,,,800,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H220MHM,LTB,50.0,22.00,16.0,25.0,-40,85,,8.20,0.10,33,,,,,,,,,400,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H330MHM,LTB,50.0,33.00,16.0,30.5,-40,85,,9.60,0.10,50,,,,,,,,,300,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
UDB1H470MHM,LTB,50.0,47.00,18.0,35.5,-40,85,,14.20,0.10,71,,,,,,,,,250,Radial Lead,Bi-Polar For Speaker Network,Bi-Polar,Normal
