Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Rated Ripple1(mArms),Rated Ripple2(mArms),ESR(mΩ)（20℃/100kHz）,ESR(mΩ) (-40℃/100kHz）,ESR(mΩ) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (mΩ)(-10℃/100kHz),Impedance (mΩ)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
UVY1C153MHD,MP,16.0,15000.00,18.0,40.0,-55,105,2000,17.70,0.48,7200,2210,,,,,,,,200,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1C223MRD,EOL,16.0,22000.00,22.0,40.0,-55,105,2000,23.80,0.62,10560,2710,,,,,,,,250,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1C333MRD,EOL,16.0,33000.00,25.0,50.0,-55,105,2000,38.80,0.84,15840,3450,,,,,,,,140,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E101MDD,EOL,25.0,100.00,5.0,11.0,-55,105,1000,0.44,0.16,75,125,,,,,,,,6000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E221MED,EOL,25.0,220.00,6.3,11.0,-55,105,1000,0.59,0.16,165,200,,,,,,,,4000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E331MPD,MP,25.0,330.00,8.0,11.5,-55,105,1000,1.19,0.16,248,275,,,,,,,,3000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E471MPD,MP,25.0,470.00,10.0,12.5,-55,105,2000,1.49,0.16,353,380,,,,,,,,2000,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E102MPD,MP,25.0,1000.00,10.0,16.0,-55,105,2000,1.77,0.16,750,610,,,,,,,,1800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E222MHD,MP,25.0,2200.00,12.5,25.0,-55,105,2000,4.56,0.18,1650,1090,,,,,,,,800,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E332MHD,MP,25.0,3300.00,16.0,25.0,-55,105,2000,8.20,0.20,2475,1400,,,,,,,,400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E472MHD,MP,25.0,4700.00,16.0,25.0,-55,105,2000,8.20,0.22,3525,1570,,,,,,,,400,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E682MHD,MP,25.0,6800.00,16.0,35.5,-55,105,2000,11.80,0.26,5100,1850,,,,,,,,300,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
UVY1E103MHD,MP,25.0,10000.00,18.0,40.0,-55,105,2000,17.70,0.34,7500,2000,,,,,,,,200,Radial Lead,Minitualized Wide Temp. Range,Uni-Polar,Normal
