Part Number,Status,Rated Voltage Range (V.D.C),Rated Capacitance Range (μF),Product diameter : D(mm),Product height : L(mm),Category Lower Limited Temperature (℃),Category Upper Limited Temperature (℃),Endurance (h),Weight (g),Tangent of loss angle (tanδ),Leakage Current  (µA),Ripple Rating (105℃/100kHz),Rated Ripple2(mArms),ESR(Ω)（20℃/100kHz）,ESR(Ω) (-40℃/100kHz）,ESR(Ω) after endurance test,"ESL(Typ.)（nH,40MHz）",Impedance (Ω)(-10℃/100kHz),Impedance (Ω)(20℃/100kHz),Minimum Quantity,Product category,Product summary,Polarity type,Vibration resistant
PLF1A470MDL4,NRND,10.0,47.00,6.3,10.5,-55,105,2000,0.50,0.08,94,2900,,0.025,,,,,,3000,Radial Lead,Standard,Uni-Polar,Normal
PLF1A680MDL4,NRND,10.0,68.00,6.3,10.5,-55,105,2000,0.50,0.08,136,2900,,0.025,,,,,,3000,Radial Lead,Standard,Uni-Polar,Normal
PLF1A101MDL4,NRND,10.0,100.00,6.3,10.5,-55,105,2000,0.50,0.08,200,2900,,0.025,,,,,,3000,Radial Lead,Standard,Uni-Polar,Normal
PLF1A151MDL4,NRND,10.0,150.00,6.3,10.5,-55,105,2000,0.50,0.08,300,2900,,0.025,,,,,,3000,Radial Lead,Standard,Uni-Polar,Normal
PLF1A271MDO1,NRND,10.0,270.00,8.0,12.0,-55,105,2000,0.95,0.08,540,4900,,0.008,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
PLF1A471MDO1,NRND,10.0,470.00,10.0,13.0,-55,105,2000,1.50,0.08,940,5700,,0.007,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1A561MDO1,NRND,10.0,560.00,10.0,13.0,-55,105,2000,1.50,0.08,1120,5900,,0.007,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1A681MDO1,NRND,10.0,680.00,10.0,13.0,-55,105,2000,1.50,0.08,1360,6100,,0.007,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1C101MDL4,NRND,16.0,100.00,6.3,10.5,-55,105,2000,0.50,0.08,320,2900,,0.024,,,,,,3000,Radial Lead,Standard,Uni-Polar,Normal
PLF1C181MDO1,NRND,16.0,180.00,8.0,12.0,-55,105,2000,0.95,0.08,576,5000,,0.009,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
PLF1C271MDO1,NRND,16.0,270.00,8.0,12.0,-55,105,2000,0.95,0.08,864,5100,,0.009,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
PLF1C331MDO1,NRND,16.0,330.00,10.0,13.0,-55,105,2000,1.50,0.08,1056,6100,,0.009,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1C471MDO1,NRND,16.0,470.00,10.0,13.0,-55,105,2000,1.50,0.08,1504,6100,,0.009,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
PLF1D220MCL2,NRND,20.0,22.00,6.3,6.0,-55,105,2000,0.30,0.12,88,1700,,0.05,,,,,,4000,Radial Lead,Standard,Uni-Polar,Normal
PLF1D390MCL2,NRND,20.0,39.00,8.0,7.0,-55,105,2000,0.55,0.12,156,2000,,0.045,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
PLF1D470MCL2,NRND,20.0,47.00,8.0,7.0,-55,105,2000,0.55,0.12,188,2000,,0.045,,,,,,2000,Radial Lead,Standard,Uni-Polar,Normal
PLF1D560MCL2,NRND,20.0,56.00,10.0,8.0,-55,105,2000,0.90,0.12,224,2400,,0.04,,,,,,1000,Radial Lead,Standard,Uni-Polar,Normal
